posture	stationary	slow	fast	movementScale	accelerationScale	turnScale	canSeeHeightMod
z(datatables/include/posture.iff)	z(datatables/include/locomotion.iff)	z(datatables/include/locomotion.iff)	z(datatables/include/locomotion.iff)	f	f	f	f
Upright	Standing	Walking	Running	1	1	1	1
Crouched	Kneeling	CrouchWalking		0.5	0.5	0.75	0.5
Prone	Prone	Crawling		0.25	0.25	0.2	0.25
Sneaking	Standing	Sneaking		0.5	0.5	0.75	1
Blocking	Blocking			0	0	1	1
Climbing	ClimbingStationary	Climbing		0.25	0.25	0.25	1
Flying							1
Sitting	Sitting			0	0	0	0.5
LyingDown	LyingDown			0.15	0.15	0.12	0.25
SkillAnimating	SkillAnimating	SkillAnimating	SkillAnimating	1	1	1	1
DrivingVehicle	DrivingVehicle			0	0	0	1
RidingCreature	RidingCreature			0	0	0	1
KnockedDown	KnockedDown			0	0	0	0.25
Incapacitated	Incapacitated			0	0	0	0.25
Dead	Dead			0	0	0	0.25
