template	name	cost	owner_cost	declared	uses	skill_requirement
s	s	i	i	i	i	s
object/draft_schematic/droid/droid_dz70.iff	DZ-70 Droid Schematic	8000		1	1	
object/draft_schematic/droid/droid_r2.iff	R2 Droid Schematic	4000		0	1	
object/draft_schematic/droid/droid_r3.iff	R3 Droid Schematic	5000		0	1	
object/draft_schematic/droid/droid_r4.iff	R4 Droid Schematic	6000		1	1	
object/draft_schematic/droid/droid_r5.iff	R5 Droid Schematic	7000		1	1	
object/draft_schematic/armor/armor_appearance_assault_trooper_bicep_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_bicep_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_boots.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_bracer_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_bracer_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_chest.iff		4000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_gloves.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_helmet.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_leggings.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_assault_trooper_utility_belt.iff		2000	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_bicep_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_bicep_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_boots.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_bracer_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_bracer_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_chest.iff		4000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_gloves.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_helmet.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_leggings.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_scout_trooper_utility_belt.iff		2000	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bicep_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bicep_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_boots.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bracer_l.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_bracer_r.iff		2000	800	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_chest.iff		4000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_gloves.iff		500	500	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_helmet.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_leggings.iff		2000	1000	0	10	crafting_armorsmith_master
object/draft_schematic/armor/armor_appearance_stormtrooper_utility_belt.iff		2000	500	0	10	crafting_armorsmith_master
object/draft_schematic/clothing/clothing_hat_imperial_command.iff		1000		1	10	class_domestics_phase1_novice
