template	name	cost	declared
s	s	i	i
object/tangible/deed/faction_perk/minefield/field_1x1_deed.iff	Minefield	250	1
object/tangible/deed/faction_perk/turret/dish_sm_deed.iff	Turret: Small Dish	1000	1
object/tangible/deed/faction_perk/turret/dish_lg_deed.iff	Turret: Large Dish	2000	1
object/tangible/deed/faction_perk/turret/block_sm_deed.iff	Turret: Small Block	1000	1
object/tangible/deed/faction_perk/turret/block_med_deed.iff	Turret: Med Block	1500	1
object/tangible/deed/faction_perk/turret/block_lg_deed.iff	Turret: Large Block	2000	1
object/tangible/deed/faction_perk/turret/tower_sm_deed.iff	Turret: Small Tower	1000	1
object/tangible/deed/faction_perk/turret/tower_med_deed.iff	Turret: Med Tower	1500	1
object/tangible/deed/faction_perk/turret/tower_lg_deed.iff	Turret: Large Tower	2000	1
object/tangible/deed/faction_perk/hq/hq_s01_imperial.iff	HQ: Forward Outpost	5000	1
object/tangible/deed/faction_perk/hq/hq_s02_imperial.iff	HQ: Field Hospital	20000	1
object/tangible/deed/faction_perk/hq/hq_s03_imperial.iff	HQ: Tactical Center	30000	1
object/tangible/deed/faction_perk/hq/hq_s04_imperial.iff	HQ: Detachment Headquarters	40000	1
object/tangible/deed/faction_perk/hq/hq_s01_imperial_pvp.iff	S.F. HQ: Forward Outpost	7500	1
object/tangible/deed/faction_perk/hq/hq_s02_imperial_pvp.iff	S.F. HQ: Field Hospital	40000	1
object/tangible/deed/faction_perk/hq/hq_s03_imperial_pvp.iff	S.F. HQ: Tactical Center	50000	1
object/tangible/deed/faction_perk/hq/hq_s04_imperial_pvp.iff	S.F. HQ: Detachment Headquarters	60000	1
