templateName	description	status	hue	protectionAmount	conditionAmount	procEffectString	reacEffectString	moveRateBuff	throwRangeMod	rangedRangeMod	healingMod	rangedAccuracyMod	meleeDefMod	meleeAccuracyMod	commandoLegs	specialCommand	installCost	repairCost	removeCost
s	c	c	i[0]	f[0.0]	f.[1.0]	s	s	s	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	i	i	i
object/tangible/wearables/cybernetic/s01/cybernetic_s01_arm_l.iff	death penalty	done															0	1	1000
object/tangible/wearables/cybernetic/s01/cybernetic_s01_arm_r.iff	death penalty	done															0	1	1000
object/tangible/wearables/cybernetic/s01/cybernetic_s01_legs.iff	death penalty	done															0	1	1000
object/tangible/wearables/cybernetic/s02/cybernetic_s02_arm_l.iff	"lowered melee defense, increased melee accuracy"	specialmove?	110	0.8												cyborgStrengthBuff	5000	1	5000
object/tangible/wearables/cybernetic/s02/cybernetic_s02_arm_r.iff	cyber_shock proc	done	110	0.8		proc_cyber_shock										cyborgLightning	5000	2	5000
object/tangible/wearables/cybernetic/s02/cybernetic_s02_legs.iff	"runspeed buff, low armor"	done	110	0.8				cyberneticLegs								cyborgBurstRun	5000	3	5000
object/tangible/wearables/cybernetic/s03/cybernetic_s03_arm_l.iff	"increased healing mod, lowered accuracy"	done	22	0.8												cyborgRevive	5000	1	5000
object/tangible/wearables/cybernetic/s03/cybernetic_s03_arm_r.iff	"increased trap throw range, lower Other combat mods"	done	119	0.95													5000	2	5000
object/tangible/wearables/cybernetic/s04/cybernetic_s04_arm_r.iff	Reverse Engineering Arm	done	1														5000	2	5000
object/tangible/wearables/cybernetic/s05/cybernetic_s05_arm_l.iff	"increase range, increased ranged accuracy, lowered melee defense, lowered melee accuracy"	specialmove?	38	0.8												cyborgSureShot	5000	3	5000
object/tangible/wearables/cybernetic/s05/cybernetic_s05_arm_r.iff	"increased range, lowered accuracy"	specialmove?	38	0.8												cyborgCriticalSnipe	5000	1	5000
object/tangible/wearables/cybernetic/s05/cybernetic_s05_legs.iff	"fire heavy weapons from standing, lowered throw range, lowered accuracy, lowered defense"	specialmove	38	0.8												cyborgKickDown	5000	2	5000
object/tangible/wearables/cybernetic/cybernetic_crafted_forearm_l_01.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_forearm_r_01.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_hand_l_01.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_hand_r_01.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_s01_arm_l.iff	new craftable cybernetic	done															5000	2	5000
object/tangible/wearables/cybernetic/cybernetic_crafted_s01_arm_r.iff	new craftable cybernetic	done															5000	2	5000
