server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
h	i	f	f	f	f	f	f	f	s	p
object/building/kashyyyk/decd_trillium_palm_short02.iff	0	25.3908	20	128	0.999962	0	0	-0.00872654		$|
object/building/kashyyyk/nasllas_pillar_small.iff	0	412.682	21.0716	302.653	0.724836	0	0.688921	0		$|
object/building/kashyyyk/nasllas_pillar_small.iff	0	428.87	21.2406	304.545	-0.652437	0	0.757842	0		$|
object/building/endor/endor_tiki_torch.iff	0	414.412	21.2941	302.778	1	0	0	0		$|
object/building/endor/endor_tiki_torch.iff	0	427.186	21.0855	304.251	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall08.iff	0	572.535	17.2229	524.349	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall07.iff	0	522.856	35.0725	296.557	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall09.iff	0	267.962	24.6971	391.435	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall05.iff	0	447.02	33.8969	297.045	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall05.iff	0	408.302	29.5858	272.936	-0.209173	-0.0188063	0.977559	-0.0164679		$|
object/building/kashyyyk/decd_wroshyr_tree_tall05.iff	0	440.598	24.21	251.697	0.950796	0	-0.309817	0		$|
object/building/kashyyyk/decd_trillium_palm_short02.iff	0	406.241	34.8553	294.53	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall02.iff	0	470.106	33.0825	312.271	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall07.iff	0	330.651	42.012	485.723	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall08.iff	0	373.003	20	607.017	-0.324796	0	0.945784	0		$|
object/building/kashyyyk/decd_trillium_palm_tall01.iff	0	466.694	31.9223	297.244	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall07.iff	0	394.621	25.6115	241.471	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall02.iff	0	524.021	27.0145	332.755	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall01.iff	0	427.023	26.8275	249.933	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall06.iff	0	491.601	24.1906	244.601	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall06.iff	0	386.245	31.6699	285.517	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall02.iff	0	376.176	31.9066	291.033	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall02.iff	0	309.51	26.8275	404.185	1	0	0	0		$|
object/building/kashyyyk/decd_wroshyr_tree_tall06.iff	0	295.086	26.1765	372.342	1	0	0	0		$|
object/building/kashyyyk/decd_trillium_palm_tall01.iff	0	308.689	28.6477	371.043	0.889293	0	-0.457338	0		$|
