strManagerName	strTemplateName	strComments	strSlot	strOverloadName	strConduitSlot
s	s	c	s	s	s
booster_test	object/tangible/ship/interior_components/booster_interior.iff	LOOK IN 	booster		
capacitor_test	object/tangible/ship/interior_components/capacitor_interior.iff	base	capacitor		
droid_interface_test	object/tangible/ship/interior_components/droid_interface_interior.iff	class	droid_interface		
engine_test	object/tangible/ship/interior_components/engine_interior.iff	FOR	engine		
hull_test	object/tangible/ship/interior_components/hull_access_interior.iff	COMPONENT	hull		
ammo_bay_1_test	object/tangible/ship/interior_components/missile_launcher_interior.iff	strings	ammo_bay		
reactor_test	object/tangible/ship/interior_components/reactor_interior.iff	Don't mess 	reactor		
shield_generator_test	object/tangible/ship/interior_components/shield_generator_interior.iff	with	shield_0		
targeting_station_test	object/tangible/ship/interior_components/targeting_station_interior.iff	unless	targeting_station		
weapon_0_test	object/tangible/ship/interior_components/weapon_interior.iff	you	weapon_0		
weapon_1_test	object/tangible/ship/interior_components/weapon_interior.iff	know	weapon_1		
weapon_2_test	object/tangible/ship/interior_components/weapon_interior.iff	what	weapon_2		
weapon_3_test	object/tangible/ship/interior_components/weapon_interior.iff	you	weapon_3		
weapon_4_test	object/tangible/ship/interior_components/weapon_interior.iff	are	weapon_4		
weapon_5_test	object/tangible/ship/interior_components/weapon_interior.iff	doing	weapon_5		
engine_conduit	object/tangible/ship/interior_components/plasma_conduit_interior.iff		plasma_conduit		engine
capacitor_conduit	object/tangible/ship/interior_components/plasma_conduit_interior.iff		plasma_conduit		capacitor
reactor_conduit	object/tangible/ship/interior_components/plasma_conduit_interior.iff		plasma_conduit		reactor
shield_generator_conduit	object/tangible/ship/interior_components/plasma_conduit_interior.iff		plasma_conduit		shield_0
