shipType	price	name	skill
s	i	s	s
xwing	50000	X-Wing	pilot_rebel_navy_starships_03
z95	10000	Z95 Headhunter	pilot_rebel_navy_novice
hutt_light_s01	10000	Scyk Light Fighter	pilot_neutral_novice
hutt_light_s02	10000	Scyk Light Fighter	pilot_neutral_novice
tiefighter	15000	TIE Fighter	pilot_imperial_navy_starships_01
tieinterceptor	50000	TIE Interceptor	pilot_imperial_navy_starships_03
tieadvanced	75000	TIE Advanced	pilot_imperial_navy_starships_04
tieaggressor	75000	TIE Aggressor	pilot_imperial_navy_starships_04
tiebomber	50000	TIE Bomber	pilot_imperial_navy_starships_03
tieoppressor	100000	TIE Oppressor	pilot_imperial_navy_master
awing	75000	A-Wing	pilot_rebel_navy_starships_04
bwing	100000	B-Wing	pilot_rebel_navy_master
ywing	15000	Y-Wing	pilot_rebel_navy_starships_01
firespray	100000	KSE Firespray	
yt1300	100000	YT-1300	pilot_neutral_master
decimator	100000	VT-49 Decimator	pilot_imperial_navy_master
ykl37r	100000	YKL-37R	pilot_rebel_navy_master
hutt_heavy_s01	25000	Kimogila Heavy Fighter	pilot_neutral_starships_02
hutt_heavy_s02	25000	Kimogila Heavy Fighter	pilot_neutral_starships_02
hutt_medium_s01	15000	Dunelizard Medium Fighter	pilot_neutral_starships_01
hutt_medium_s02	15000	Dunelizard Medium Fighter	pilot_neutral_starships_01
tie_in	25000	TIE/In	pilot_imperial_navy_starships_02
tie_light_duty	10000	TIE Light Duty Fighter	pilot_imperial_navy_novice
ywing_longprobe	25000	Y-Wing Longprobe	pilot_rebel_navy_starships_02
blacksun_light_s01	25000	Kihraxz Assault Fighter	pilot_neutral_starships_02
blacksun_light_s02	25000	Kihraxz Assault Fighter	pilot_neutral_starships_02
blacksun_light_s03	25000	Kihraxz Assault Fighter	pilot_neutral_starships_02
blacksun_light_s04	25000	Kihraxz Assault Fighter	pilot_neutral_starships_02
blacksun_heavy_s01	75000	Rihkxyrk Attack Ship	pilot_neutral_starships_04
blacksun_heavy_s02	75000	Rihkxyrk Attack Ship	pilot_neutral_starships_04
blacksun_heavy_s03	75000	Rihkxyrk Attack Ship	pilot_neutral_starships_04
blacksun_heavy_s04	75000	Rihkxyrk Attack Ship	pilot_neutral_starships_04
blacksun_medium_s01	50000	Ixiyen Fast Attack Craft	pilot_neutral_starships_03
blacksun_medium_s02	50000	Ixiyen Fast Attack Craft	pilot_neutral_starships_03
blacksun_medium_s03	50000	Ixiyen Fast Attack Craft	pilot_neutral_starships_03
blacksun_medium_s04	50000	Ixiyen Fast Attack Craft	pilot_neutral_starships_03
hutt_turret_ship	100000	"M22-T ""Krayt"" Heavy Fighter"	pilot_neutral_master
gunship_rebel	1000000	Rebel Gunship	pilot_rebel_navy_master
gunship_neutral	1000000	Neutral Gunship	pilot_neutral_master
gunship_imperial	1000000	Imperial Gunship	pilot_imperial_navy_master
naboo_n1	75000	Naboo N-1	pilot_neutral_starships_04
