force_sensitive_skills	skill_one	skill_two	skill_three	skill_four	skill_novice	skill_master	skill_names
s	s	s	s	s	s	s	s
force_sensitive_combat_prowess_ranged_accuracy	force_sensitive_combat_prowess_ranged_accuracy_01	force_sensitive_combat_prowess_ranged_accuracy_02	force_sensitive_combat_prowess_ranged_accuracy_03	force_sensitive_combat_prowess_ranged_accuracy_04	force_sensitive_combat_prowess_novice	force_sensitive_combat_prowess_master	force_sensitive_combat_prowess_master
force_sensitive_combat_prowess_ranged_speed	force_sensitive_combat_prowess_ranged_speed_01	force_sensitive_combat_prowess_ranged_speed_02	force_sensitive_combat_prowess_ranged_speed_03	force_sensitive_combat_prowess_ranged_speed_04	force_sensitive_combat_prowess_novice	force_sensitive_combat_prowess_master	force_sensitive_combat_prowess_master
force_sensitive_combat_prowess_melee_accuracy	force_sensitive_combat_prowess_melee_accuracy_01	force_sensitive_combat_prowess_melee_accuracy_02	force_sensitive_combat_prowess_melee_accuracy_03	force_sensitive_combat_prowess_melee_accuracy_04	force_sensitive_combat_prowess_novice	force_sensitive_combat_prowess_master	force_sensitive_combat_prowess_master
force_sensitive_combat_prowess_melee_speed	force_sensitive_combat_prowess_melee_speed_01	force_sensitive_combat_prowess_melee_speed_02	force_sensitive_combat_prowess_melee_speed_03	force_sensitive_combat_prowess_melee_speed_04	force_sensitive_combat_prowess_novice	force_sensitive_combat_prowess_master	force_sensitive_combat_prowess_master
force_sensitive_enhanced_reflexes_ranged_defense	force_sensitive_enhanced_reflexes_ranged_defense_01	force_sensitive_enhanced_reflexes_ranged_defense_02	force_sensitive_enhanced_reflexes_ranged_defense_03	force_sensitive_enhanced_reflexes_ranged_defense_04	force_sensitive_enhanced_reflexes_novice	force_sensitive_enhanced_reflexes_master	force_sensitive_enhanced_reflexes_master
force_sensitive_enhanced_reflexes_melee_defense	force_sensitive_enhanced_reflexes_melee_defense_01	force_sensitive_enhanced_reflexes_melee_defense_02	force_sensitive_enhanced_reflexes_melee_defense_03	force_sensitive_enhanced_reflexes_melee_defense_04	force_sensitive_enhanced_reflexes_novice	force_sensitive_enhanced_reflexes_master	force_sensitive_enhanced_reflexes_master
force_sensitive_enhanced_reflexes_vehicle_control	force_sensitive_enhanced_reflexes_vehicle_control_01	force_sensitive_enhanced_reflexes_vehicle_control_02	force_sensitive_enhanced_reflexes_vehicle_control_03	force_sensitive_enhanced_reflexes_vehicle_control_04	force_sensitive_enhanced_reflexes_novice	force_sensitive_enhanced_reflexes_master	force_sensitive_enhanced_reflexes_master
force_sensitive_enhanced_reflexes_survival	force_sensitive_enhanced_reflexes_survival_01	force_sensitive_enhanced_reflexes_survival_02	force_sensitive_enhanced_reflexes_survival_03	force_sensitive_enhanced_reflexes_survival_04	force_sensitive_enhanced_reflexes_novice	force_sensitive_enhanced_reflexes_master	force_sensitive_enhanced_reflexes_master
force_sensitive_crafting_mastery_experimentation	force_sensitive_crafting_mastery_experimentation_01	force_sensitive_crafting_mastery_experimentation_02	force_sensitive_crafting_mastery_experimentation_03	force_sensitive_crafting_mastery_experimentation_04	force_sensitive_crafting_mastery_novice	force_sensitive_crafting_mastery_master	force_sensitive_crafting_mastery_master
