strCommand	strComments	Level	validTarget	setCombatTarget	strAnimationAction	intUseAbsoluteAnimation	intLeftFoot	intRightFoot	intRightHand	intLeftHand	intWeapon	strCombatSpam	intWeaponType	speedMods	damageMods	costMods	toHitMods	blockMods	evadeMods	counterMods	intAttackType	fltConeLength	fltConeWidth	fltRange	baseTimeMod	darkTimeBonus	lightTimeBonus	baseDamageMod	damageRankBonus	intUseWeaponForcePower	intJediPowerCost	forceCostRankBonus	fltForceMultiplier	intVisibilityValue	intVisibilityRange	intBaseToHit	intBlockMod	intEvadeMod	intCounterAttackMod	intAttackerEndPosture	intDefenderEndPosture	intBleedingChance	intChanceToApplyEffect	intNumberOfStatesToApply	intEffect1	fltEffectDuration1	durationRankBonus1	intEffect2	fltEffectDuration2	durationRankBonus2	intEffect3	fltEffectDuration3	durationRankBonus3	intHitHead	intHitBody	intHitLegs	fltBleedingValue	intBleedingDuration	intBleedMind	intBleedHealth	intBleedAction	intOverloadWeapon	damageTarget	intMinDamage	intMaxDamage	fltMidRange	fltMaxRange	intMinRangeMod	intZeroRangeMod	intMaxRangeMod	fltAttackSpeed	intHealthCost	intMindCost	intActionCost	intDamageType	intDamageRating
s	c	i	"e(STANDARD=0,MOB=1,CREATURE=2,NPC=3,DROID=4,PVP=5,JEDI=6)[STANDARD]"	i[0]	s	i	"e(OFF=0,ON=1)[OFF]"	"e(OFF=0,ON=1)[OFF]"	"e(OFF=0,ON=1)[OFF]"	"e(OFF=0,ON=1)[OFF]"	"e(OFF=0,ON=1)[OFF]"	s	"e(RIFLE=0,CARBINE=1,PISTOL=2,HEAVY=3,1HAND_MELEE=4,2HAND_MELEE=5,UNARMED=6,POLEARM=7,THROWN=8,1HAND_LIGHTSABER=9,2HAND_LIGHTSABER=10,POLEARM_LIGHTSABER=11,RANGED=-1,MELEE=-2,ALL=-3,ALL_LIGHTSABERS=-4,FORCE_POWER=-5)[ALL]"	s	s	s	s	s	s	s	"e(CONE=0,SINGLE_TARGET=1,AREA=2,TARGET_AREA=3)[SINGLE_TARGET]"	f	f	f[-1]	f	f	f	f	f	i	i	f	f	i	i	i	i	i	i	"e(POSTURE_NONE=-1,POSTURE_STANDING=0,POSTURE_KNEELING=1,POSTURE_PRONE=2,POSTURE_UP=-3,POSTURE_DOWN=-2,POSTURE_KNOCKED_DOWN=12)[POSTURE_NONE]"	"e(POSTURE_NONE=-1,POSTURE_STANDING=0,POSTURE_KNEELING=1,POSTURE_PRONE=2,POSTURE_UP=-3,POSTURE_DOWN=-2,POSTURE_KNOCKED_DOWN=12)[POSTURE_NONE]"	i	i	i	"e(STATE_COVER=0,STATE_ALERT=4,STATE_BERSERK=5,STATE_TUMBLING=10,STATE_RALLIED=11,STATE_STUNNED=12,STATE_BLINDED=13,STATE_DIZZY=14,STATE_INTIMIDATED=15,STATE_IMMOBILIZED=16,STATE_FROZEN=17,STATE_NONE=-1)[STATE_NONE]"	f	f	"e(STATE_COVER=0,STATE_ALERT=4,STATE_BERSERK=5,STATE_TUMBLING=10,STATE_RALLIED=11,STATE_STUNNED=12,STATE_BLINDED=13,STATE_DIZZY=14,STATE_INTIMIDATED=15,STATE_IMMOBILIZED=16,STATE_FROZEN=17,STATE_NONE=-1)[STATE_NONE]"	f	f	"e(STATE_COVER=0,STATE_ALERT=4,STATE_BERSERK=5,STATE_TUMBLING=10,STATE_RALLIED=11,STATE_STUNNED=12,STATE_BLINDED=13,STATE_DIZZY=14,STATE_INTIMIDATED=15,STATE_IMMOBILIZED=16,STATE_FROZEN=17,STATE_NONE=-1)[STATE_NONE]"	f	f	i	i	i	f	i	i	i	i	I[0]	i[1]	i	i	f	f	i	i	i	f	i	i	i	"e(DAMAGE_KINETIC=1,DAMGE_ENERGY=2,DAMGE_BLAST=4,DAMGE_STUN=8,DAMAGE_RESTRAINT=16,DAMAGE_ELEMENTAL_HEAT=32,DAMAGE_ELEMENTAL_COLD=64,DAAMGE_ELEMENTAL_ACID=128,DAMAGE_ELEMENTAL_ELECTRICAL=256,DAMAGE_ENVIRONMENTAL_HEAT=512,DAMAGE_ENVIRONMENTAL_COLD=1024,DAMAGE_ENVIRONMENTAL_ACID=2048,DAMAAGE_ENVIRONMENTAL_ELECTRICAL=4096)[DAMAGE_KINETIC]"	"e(ARMOR_NONE=0,ARMOR_LIGHT=1,ARMOR_MEDIUM=2,ARMOR_HEAVY=3)[ARMOR_NONE]"
saberSlash1	"bleeding move, all sabers, lower_posture"		STANDARD	0	"?polearmlightsaber=knockdown_polearm_1,onehandlightsaber=knockdown_1hmelee_1,twohandlightsaber=knockdown_2hmelee_1"	1	OFF	OFF	OFF	OFF	ON	saberslash1	ALL_LIGHTSABERS	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.25	0	0	1	0	1	50	0	1	50	32	50				POSTURE_NONE	POSTURE_DOWN	50			STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0.25	30	1	1	1	0	1	0	0	0	0	0		0	0	0	0	0		
saberSlash2	"bleeding++, all sabers, posture down"		STANDARD	0	"?polearmlightsaber=knockdown_polearm_1,onehandlightsaber=knockdown_1hmelee_1,twohandlightsaber=knockdown_2hmelee_1"	1	OFF	OFF	OFF	OFF	ON	saberslash2	ALL_LIGHTSABERS	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2	0	0	2.5	0	1	75	0	2	50	32	50				POSTURE_NONE	POSTURE_DOWN	75			STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0.5	60	1	1	1	0	1	0	0	0	0	0		0	0	0	0	0		
saberThrow1	throws +damage		STANDARD	0	saberthrow	0	OFF	OFF	OFF	OFF	ON	saberthrow1	ALL_LIGHTSABERS	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0	32	2	0	0	1.5	0	1	60	0	1.5	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberThrow2	"throws + more damage, and knockdown"		STANDARD	0	saberthrow_posture_change	1	OFF	OFF	OFF	OFF	ON	saberthrow2	ALL_LIGHTSABERS	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0	32	3	0	0	1.875	0	1	80	0	2	50	32	50				POSTURE_NONE	POSTURE_KNOCKED_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberThrow3	"throws + more damage, and knockdown"		STANDARD	0	saberthrow_posture_change	1	OFF	OFF	OFF	OFF	ON	saberthrow3	ALL_LIGHTSABERS	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	CONE	32	30	32	4	0	0	2	0	1	140	0	2.5	50	32	50				POSTURE_NONE	POSTURE_KNOCKED_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber1hHit1	hit+damage		STANDARD	0	combo_jedi_1	0	OFF	OFF	OFF	OFF	ON	saber1hhit1	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.25	0	0	1.5	0	1	20	0	1	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber2hHit1	hit + damage		STANDARD	0	combo_2c	0	OFF	OFF	OFF	OFF	ON	saber2hhit1	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.25	0	0	1.5	0	1	20	0	1	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberPolearmHit1	hit+damage		STANDARD	0	combo_3a	0	OFF	OFF	OFF	OFF	ON	saberpolearmhit1	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.25	0	0	1.5	0	1	20	0	1	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber1hComboHit1	hits multiple locations		STANDARD	0	combo_3b	0	OFF	OFF	OFF	OFF	ON	saber1hcombohit1	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.25	0	0	1.5	0	1	40	0	1.25	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
