actionName	forceModDark	minDmgModDark	maxDmgModDark	delayModDark	extraForceModDark	buffModDark1	buffModDark2	buffModDark3	buffDurModDark	minHealModDark	maxHealModDark	forceModLight	minDmgModLight	maxDmgModLight	delayModLight	extraForceModLight	buffModLight1	buffModLight2	buffModLight3	buffDurModLight	minHealModLight	maxHealModLight
s	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f
forceLightningSingle1	0.3125	3	6	-0.014	0	0	0	0	0	0	0	0.5	3.33	6.66	0	0	0	0	0	0	0	0
forceLightningSingle2	1.25	5	10	-0.014	0	0	0	0	0	0	0	1.5	5.33	13.33	0	0	0	0	0	0	0	0
forceLightningCone1	1	2.5	5	-0.014	0	0	0	0	0	0	0	1.25	2.66	5.33	0	0	0	0	0	0	0	0
forceLightningCone2	1.875	4	8.33	-0.014	0	0	0	0	0	0	0	2.5	4	10.66	0	0	0	0	0	0	0	0
forceThrow1	0.6	1.66	3.75	-0.028	0	0	0	0	0	0	0	0.5	2	4	-0.008	0	0	0	0	0	0	0
forceThrow2	0.9	3	6.25	-0.028	0	0	0	0	0	0	0	0.5	3.33	6.66	-0.008	0	0	0	0	0	0	0
forceKnockdown1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forceKnockdown2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forceKnockdown3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mindBlast1	0.5	1	2	-0.028	0	0	0	0	0	0	0	0.65	1	2	0	0	0	0	0	0	0	0
mindBlast2	0.75	1.5	3.25	-0.028	0	0	0	0	0	0	0	1.375	1.33	2.66	0	0	0	0	0	0	0	0
forceWeaken1	1.25	0.625	3	0	0	0	0	0	0	0	0	1	2.33	6	-0.008	0	0	0	0	0	0	0
forceWeaken2	1.25	0.625	3	0	0	0	0	0	0	0	0	0.625	2.33	6	-0.008	0	0	0	0	0	0	0
forceChoke	3.125	1.5	4	0	0	0	0	0	0	0	0	5	1	3.66	0	0	0	0	0	0	0	0
animalCalm	-0.3	0	0	-0.04	0	0	0	0	0	0	0	-0.4	0	0	-0.033	0	0	0	0	0	0	0
animalAttack	-0.9	0	0	-0.04	0	0	0	0	0	0	0	-1.25	0	0	-0.033	0	0	0	0	0	0	0
animalScare	-1.25	0	0	-0.04	0	0	0	0	0	0	0	-1.5	0	0	-0.033	0	0	0	0	0	0	0
jediMindTrick	-3.75	0	0	-0.04	0	0	0	0	0	0	0	-5	0	0	-0.033	0	0	0	0	0	0	0
forceIntimidate1	-1.875	0	0	-0.026	0	0	0	0	0	0	0	-1.25	0	0	-0.0167	0	0	0	0	0	0	0
forceIntimidate2	-3.125	0	0	-0.026	0	0	0	0	0	0	0	-1.75	0	0	-0.0167	0	0	0	0	0	0	0
drainForce	0.625	1.25	1.25	0	0	0	0	0	0	0	0	0.875	3.33	3.33	0	0	0	0	0	0	0	0
forceRun1	-0.5	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0
forceRun2	-0.5	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0
forceRun3	-0.5	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0
forceSpeed1	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0.0875	0	0	0	0	0
forceSpeed2	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0.0875	0	0	0	0	0
forceArmor1	0.94	0	0	0	-0.0013	0.25	0	0	0	0	0	1	0	0	0	-0.002	0.25	0	0	0	0	0
forceArmor2	0.94	0	0	0	-0.00065	0.4	0	0	0	0	0	1	0	0	0	-0.002	0.33	0	0	0	0	0
forceShield1	0.94	0	0	0	-0.0013	0.25	0	0	0	0	0	1	0	0	0	-0.002	0.25	0	0	0	0	0
forceShield2	0.94	0	0	0	-0.00065	0.4	0	0	0	0	0	1	0	0	0	-0.002	0.33	0	0	0	0	0
forceProtection	0.94	0	0	0	-0.00065	0.4	0.4	0	0	0	0	1	0	0	0	-0.002	0.33	0.33	0	0	0	0
forceFeedback1	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0	0.25	0	0	0	0	0
forceFeedback2	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0	0.45	0	0	0	0	0
forceAbsorb1	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0.002	0	0	0	0	0	0
forceAbsorb2	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0	0.002	0	0	0	0	0	0
forceResistDisease	1.25	0	0	0	0	0.25	0.25	0	0	0	0	0.65	0	0	0	0	0.5	0.5	0	0	0	0
forceResistPoison	1.25	0	0	0	0	0.25	0.25	0	0	0	0	0.65	0	0	0	0	0.5	0.5	0	0	0	0
forceResistBleeding	1.25	0	0	0	0	0.25	0.25	0	0	0	0	0.65	0	0	0	0	0.5	0.5	0	0	0	0
forceResistStates	1.25	0	0	0	0	0.25	0	0	0	0	0	0.65	0	0	0	0	0.25	0	0	0	0	0
transferForce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
channelForce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forceMeditate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
avoidIncapacitation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regainConsciousness	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healHealthSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healHealthSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healActionSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healActionSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healMindSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healMindSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healAllSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healAllSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healAllOther1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healAllOther2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healMindWoundSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healMindWoundSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healHealthWoundSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healHealthWoundSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healActionWoundSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healActionWoundSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healBattleFatigueSelf1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healBattleFatigueSelf2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healMindWoundOther1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
