generation	minDamage	maxDamage	pearlCount	pearlLevel
i	i	i	i	i
2	232	442	1	50
2	257	467	1	75
2	282	492	1	100
2	307	517	1	150
2	332	542	1	225
2	357	567	1	250
2	382	592	1	300
3	323	638	2	50
3	348	663	2	75
3	473	788	2	100
3	523	838	2	150
3	573	888	2	225
3	623	973	2	250
3	673	988	2	300
4	414	834	3	50
4	839	859	3	75
4	664	1084	3	100
4	739	1159	3	150
4	814	1234	3	225
4	889	1309	3	250
4	964	1384	3	300
5	505	1030	4	50
5	530	1055	4	75
5	855	1380	4	100
5	955	1480	4	150
5	1055	1580	4	225
5	1155	1680	4	250
5	1255	1780	4	300
