Item	Certifications Required
s	s
object/tangible/droid/navicomputer_1.iff	@cmd_n:cert_droid_astromech_1
object/tangible/droid/navicomputer_2.iff	@cmd_n:cert_droid_astromech_2
object/tangible/droid/navicomputer_3.iff	@cmd_n:cert_droid_astromech_3
object/tangible/droid/navicomputer_4.iff	@cmd_n:cert_droid_astromech_4
object/tangible/droid/navicomputer_5.iff	@cmd_n:cert_droid_astromech_5
object/tangible/droid/navicomputer_6.iff	@cmd_n:cert_droid_astromech_6
object/tangible/ship/components/armor/arm_corellian_advanced_durasteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_corellian_cheap_durasteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_corellian_elite_durasteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_corellian_enhanced_elite_plastisteel.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_corellian_heavy_durasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_corellian_improved_advanced_durasteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_corellian_light_durasteel.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_corellian_modified_heavy_durasteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_corellian_reinforced_light_durasteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_corellian_reinforced_supreme_durasteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_corellian_special_standard_durasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_corellian_standard_durasteel.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_corellian_supreme_durasteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_cygnus_light_weave.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_cygnus_standard_weave.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_fibertech_steel_plating.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_freitek_deluxe_light.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_freitek_standard.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_gallofree_mk1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_gallofree_mk2.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_generic.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_incom_light_plate.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_incom_modified_standard_plate.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_incom_standard_plate.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_kessel_imperial_rendili_crystalline_durasteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_kessel_imperial_sds_imperial_impervious.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_kessel_imperial_sfs_imperial_finest.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_kessel_rebel_mandal_corrugated_plastisteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_kessel_rebel_slayn_flexsteel_multilayer.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_kessel_rebel_sorosuub_spidershell_plating.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_koensayr_advanced_durasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_koensayr_b5_durasteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_koensayr_b9_durasteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_koensayr_elite_plastisteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_koensayr_enhanced_heavy_durasteel.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/arm_koensayr_enhanced_standard_durasteel.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_koensayr_heavy_durasteel.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_koensayr_improved_elite_plastisteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_koensayr_light_advanced_durasteel.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/arm_koensayr_limited_heavy_durasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_koensayr_limited_supreme_durasteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_koensayr_promotional_b9_durasteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_koensayr_reinforced_b5_durasteel.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_koensayr_special_supreme_durasteel.iff	@cmd_n:cert_ordnance_level8
