x	y	z	area	cell
f	f	f	s	i
-6356.04	540.792	-7480.785	dathomir	cell=0
-6380.59	540.155	-7407.93	dathomir	cell=0
-6397.88	544.722	-7332.5303	dathomir	cell=0
-6438.87	540.06	-7268.004	dathomir	cell=0
-6498.11	540.131	-7218.664	dathomir	cell=0
-6540.66	540	-7155.75	dathomir	cell=0
-6561.68	559.245	-7085.83	dathomir	cell=0
-6574.77	567.209	-7011.44	dathomir	cell=0
-6595.84	568.484	-6937.2803	dathomir	cell=0
-6613.8	565.137	-6862.85	dathomir	cell=0
-6639.9697	552.248	-6791.9	dathomir	cell=0
-6670.39	540.35	-6723.52	dathomir	cell=0
-6700.91	542.746	-6655.2197	dathomir	cell=0
-6735.71	547.17	-6588.23	dathomir	cell=0
-6772.42	552.506	-6522.58	dathomir	cell=0
-6798.14	554.297	-6472.43	dathomir	cell=0
