x	y	z	area	cell
f	f	f	s	i
-5875.379	538.492	-6667.93	dathomir	cell=0
-5850.807	529.609	-6741.0303	dathomir	cell=0
-5858.298	532.154	-6818.13	dathomir	cell=0
-5867.996	535.683	-6894.41	dathomir	cell=0
-5876.045	538.749	-6971.75	dathomir	cell=0
-5895.711	546.404	-7045.68	dathomir	cell=0
-5927.044	555.994	-7113.39	dathomir	cell=0
-5972.714	549.67	-7175.39	dathomir	cell=0
-6023.458	537.743	-7233.4893	dathomir	cell=0
-6087.657	535.574	-7265.1143	dathomir	cell=0
-6143.2114	530.345	-7319.035	dathomir	cell=0
-6198	544.73	-7374.7607	dathomir	cell=0
-6242.79	557.902	-7436.063	dathomir	cell=0
-6278.57	560.512	-7514.348	dathomir	cell=0
