planet	template	loc_x	loc_y	loc_z	yaw	cell
s	s	f	f	f	f	s
corellia	object/tangible/gcw/static_base/control_terminal.iff	4801.5	95	-5207	-45	
corellia	object/tangible/gcw/static_base/control_terminal.iff	4816.02	95	-5231.13	90	
corellia	object/tangible/gcw/static_base/control_terminal.iff	4736	95	-5259.9	55	
corellia	object/tangible/gcw/static_base/control_terminal.iff	-2.4	-13.8	-18	0	basement
naboo	object/tangible/gcw/static_base/control_terminal.iff	996.7	298	-1521.08	-90	
naboo	object/tangible/gcw/static_base/control_terminal.iff	962.12	298	-1497.05	-180	
naboo	object/tangible/gcw/static_base/control_terminal.iff	60	-12	59.02	-90	security
naboo	object/tangible/gcw/static_base/control_terminal.iff	54.08	-20	158.71	-180	warden_room
talus	object/tangible/gcw/static_base/control_terminal.iff	-4948.06	66	-3149.07	-92	
talus	object/tangible/gcw/static_base/control_terminal.iff	-4957.3	66	-3104.74	-90	
talus	object/tangible/gcw/static_base/control_terminal.iff	-4905.68	66	-3106.47	-90	
talus	object/tangible/gcw/static_base/control_terminal.iff	15.33	-11.5	-22.02	0	core
