rebel	imperial	room	loc_x	loc_y	loc_z	yaw	respawn_time	script	objvar	behavior
s	s	s	f	f	f	f	i	s	s	"e(wander=0,sentinel=1,loiter=2)[sentinel]"
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	1000.5	298	-1484.08	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	1007.04	298	-1484.08	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	1008.62	298	-1497.34	45				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	994.71	298	-1505.54	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	994.71	298	-1512.19	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	964.64	298	-1492.9	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	956.14	298	-1519.8	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	guard_room	14.43	-12	36.67	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	security	58.37	-12	61.63	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	security	58.37	-12	56	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	reception	3.55	-12	51.21	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	storage2	25.23	-12	99.01	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	storage3	-18.25	-12	98.93	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	guardroom	47.51	-20	103.37	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	warden_room	55.13	-20	142.97	90	
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	warden_room	39.92	-20	142.97	90	
gcw_base_rebel_commando	gcw_base_stormtrooper	cellblock	83.6	-20	151.1	-90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	cell1	102.9	-20	154.1	-104	300
gcw_base_rebel_commando	gcw_base_stormtrooper	cellblock	83.3	-20	130.9	0	300
gcw_base_rebel_commando	gcw_base_stormtrooper	cell5	64.4	-20	130.8	90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	cell2	101.6	-20	127	-68	300
gcw_base_rebel_commando	gcw_base_stormtrooper	cellblock	78.5	-20	111	90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	cell3	101.5	-20	116	-112	300
gcw_base_rebel_commando	gcw_base_stormtrooper	warden_room	51.6	-20	141.3	180	300
gcw_base_rebel_commando	gcw_base_stormtrooper	warden_room	42.6	-20	141.3	180	300
gcw_base_rebel_commando	gcw_base_stormtrooper	guardroom	46.8	-20	106.4	-56	300
gcw_base_rebel_commando	gcw_base_stormtrooper	storage3	-10.6	-12	96.2	71	300
gcw_base_rebel_commando	gcw_base_stormtrooper	storage3	-10.3	-12	102.1	107	300
gcw_base_rebel_commando	gcw_base_stormtrooper	storage2	17.5	-12	94.9	-66	300
gcw_base_rebel_commando	gcw_base_stormtrooper	storage1	7.8	-12	115.3	-152	300
gcw_base_rebel_commando	gcw_base_stormtrooper	storage1	-0.1	-12	115	158	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	reception	-3.7	-12	59.2	90	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	reception	-0.9	-12	70.6	116	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	security	40.3	-12	53.4	-65	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	security	40.3	-12	63	-101	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	guard_room	17.4	-12	33.3	-117	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	998.6	298	-1485.8	-180	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	1006.9	298	-1494.9	-135	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	962.9	298	-1490.5	90	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	953.4	298	-1521.2	0	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	1002	298	-1505.1	172	300			loiter
gcw_base_rebel_commando	gcw_base_stormtrooper	world	1008	298	-1526.8	125	300			loiter
gcw_base_rebel_commando	gcw_base_stormtrooper	world	978.9	298	-1487.3	179	300			loiter
gcw_base_rebel_commando	gcw_base_stormtrooper	world	947.8	298	-1497.7	131	300			loiter
gcw_base_rebel_naboo_reward_officer	gcw_base_imperial_naboo_reward_officer	cell4	67.1	-20	110.8	90	30			
