objvar_name	objvar_value	item_objvar_name	examine_item_name	item_reward_name	useKitPartTemplate
s	s[none]	s	s	s	s
collectible.item_contained_01	0	collectible.fs_tracking_device	fs_tracking_device_control_unit	object/tangible/loot/collectible/collectible_rewards/fs_tracking_device.iff	object/tangible/component/item/electronic_control_unit.iff
collectible.item_contained_02	0		fs_tracking_device_energy_distributor		object/tangible/component/item/electronic_energy_distributor.iff
collectible.item_contained_03	0		fs_tracking_device_memory_module		object/tangible/component/item/electronics_memory_module.iff
collectible.item_contained_04	0		fs_tracking_device_sensor_suite		object/tangible/component/item/micro_sensor_suite.iff
collectible.item_contained_05	0		fs_tracking_device_case_01		
collectible.item_contained_06	0		fs_tracking_device_case_02		
collectible.item_contained_07	0		fs_tracking_device_case_03		
collectible.item_contained_08	0		fs_tracking_device_assembly_bracket_01		
collectible.item_contained_09	0		fs_tracking_device_assembly_bracket_02		
collectible.item_contained_10	0		fs_tracking_device_assembly_bracket_03		
