objvar_name	objvar_value	item_objvar_name	examine_item_name	item_reward_name
s	s[none]	s	s	s
collectible.item_contained_01	0	collectible.light_table	light_table_adhesive	object/tangible/loot/collectible/collectible_rewards/collectible_table.iff
collectible.item_contained_02	0		light_table_glasstop_01	
collectible.item_contained_03	0		light_table_glasstop_02	
collectible.item_contained_04	0		light_table_structure_01	
collectible.item_contained_05	0		light_table_structure_02	
collectible.item_contained_06	0		light_table_structure_03	
collectible.item_contained_07	0		light_table_structure_04	
collectible.item_contained_08	0		light_table_structure_05	
collectible.item_contained_09	0		light_table_structure_06	
collectible.item_contained_10	0		light_table_structure_07	
