objvar_name	objvar_value	item_objvar_name	examine_item_name
s	s[none]	s	s
collectible.item_contained_01	0	collectible.loot_item_01	collectible_loot_item_01
collectible.item_contained_02	0		collectible_loot_item_02
collectible.item_contained_03	0		collectible_loot_item_03
collectible.item_contained_04	0		collectible_loot_item_04
collectible.item_contained_05	0		collectible_loot_item_05
collectible.item_contained_06	0		collectible_loot_item_06
collectible.item_contained_07	0		collectible_loot_item_07
collectible.item_contained_08	0		collectible_loot_item_08
collectible.item_contained_09	0		collectible_loot_item_09
collectible.item_contained_10	0		collectible_loot_item_10
