objvar_name	objvar_value	item_objvar_name	examine_item_name	item_reward_name
s	s[none]	s	s	s
collectible.item_contained_01	0	collectible.sculpture	sculpture_adhesive	object/tangible/loot/collectible/collectible_rewards/collectible_sculpture_s01.iff
collectible.item_contained_02	0		sculpture_goldinlay_01	
collectible.item_contained_03	0		sculpture_goldinlay_02	
collectible.item_contained_04	0		sculpture_structure_01	
collectible.item_contained_05	0		sculpture_structure_02	
collectible.item_contained_06	0		sculpture_structure_03	
collectible.item_contained_07	0		sculpture_structure_04	
collectible.item_contained_08	0		sculpture_structure_05	
collectible.item_contained_09	0		sculpture_structure_06	
collectible.item_contained_10	0		sculpture_structure_07	
