objvar_name	objvar_value	item_objvar_name	examine_item_name	item_reward_name
s	s[none]	s	s	s
collectible.item_contained_01	0	collectible.blue_rug	blue_rug_adhesive	object/tangible/loot/collectible/collectible_rewards/blue_rug.iff
collectible.item_contained_02	0		blue_rug_dye	
collectible.item_contained_03	0		blue_rug_cloth_patches	
collectible.item_contained_04	0		blue_rug_thread_01	
collectible.item_contained_05	0		blue_rug_thread_02	
collectible.item_contained_06	0		blue_rug_thread_03	
collectible.item_contained_07	0		blue_rug_thread_04	
collectible.item_contained_08	0		blue_rug_thread_05	
collectible.item_contained_09	0		blue_rug_thread_06	
collectible.item_contained_10	0		blue_rug_thread_07	
