spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s
object/tangible/quest/clone_relics_box_large.iff		roomb1	-4.8	-4.9	-8.1	-19				300						
clone_relics_morkov_courier		roomf2	-7.2	6.1	-8.8	85				300						
clone_relics_morkov_courier_bodyguard		roomf2	-8.1	6.1	-7.4	100			npc_imperial	300						
clone_relics_morkov_courier_bodyguard		roomf2	-8.1	6.1	-9.9	69			npc_imperial	300						
object/static/item/item_container_weapon.iff		roomf2	-10.6	6.1	-10.3	90										
object/static/item/item_container_weapon.iff		roomf2	-10.6	6.1	-8.8	90										
object/static/item/item_container_weapon.iff		roomf2	-10.6	6.1	-7.3	90										
object/static/item/item_container_weapon.iff		roomf2	-10.6	6.1	-5.8	90										
object/static/item/item_container_weapon.iff		roomf2	-10.6	6.1	-4.3	90										
