db_id	templateFilename
s	s
pants_admiral_ackbar	object/tangible/wearables/pants/pants_admiral_ackbar.iff
pants_camo_desert	object/tangible/wearables/pants/pants_camo_desert.iff
pants_cargo	object/tangible/wearables/pants/pants_cargo.iff
pants_cargo_front	object/tangible/wearables/pants/pants_cargo_front.iff
pants_cargo_side	object/tangible/wearables/pants/pants_cargo_side.iff
pants_corellian_captain	object/tangible/wearables/pants/pants_corellian_captain.iff
pants_greedo	object/tangible/wearables/pants/pants_greedo.iff
pants_han_solo	object/tangible/wearables/pants/pants_han_solo.iff
pants_heavy_weather	object/tangible/wearables/pants/pants_heavy_weather.iff
pants_loose_1	object/tangible/wearables/pants/pants_loose_1.iff
pants_rancor_trainer	object/tangible/wearables/pants/pants_rancor_trainer.iff
pants_rebel_striketeam	object/tangible/wearables/pants/pants_rebel_striketeam.iff
pants_ribbed	object/tangible/wearables/pants/pants_ribbed.iff
pants_shorts_nightsister	object/tangible/wearables/pants/pants_shorts_nightsister.iff
pants_skiff_guard	object/tangible/wearables/pants/pants_skiff_guard.iff
pants_slacks_1	object/tangible/wearables/pants/pants_slacks_1.iff
pants_tight_1	object/tangible/wearables/pants/pants_tight_1.iff
pants_tight_mara_jade	object/tangible/wearables/pants/pants_tight_mara_jade.iff
