trialName	trialType	trialNum	trialTarget	trialTarget_Rebel	trialTarget_Imperial	trialTargetAmt
s	s	i[-1]	s	s	s	i[1]
light_or_dark	chooseCouncil	7	null	null	null	0
enemy_soldier	factionHuntAndDestroy	8	null	storm_commando	rebel_commando	47
high_general	factionHuntAndDestroy	9	null	imperial_high_general;imperial_general;imperial_surface_marshal	rebel_high_general;rebel_general;rebel_surface_marshal	22
corvette_officer	factionHuntAndDestroy	10	null	stormtrooper_novatrooper_elite_commander	corvette_rebel_rear_admiral	4
giant_canyon_krayt	huntAndDestroy	14	giant_canyon_krayt_dragon	null	null	1
kiin_dray	huntAndDestroy	13	gaping_spider_recluse_giant_kiin_dray	null	null	1
tusken_raider	huntAndDestroy	0	tusken_raider	null	null	19
geonosian_bunker_acklay	huntAndDestroy	11	geonosian_acklay_bunker_boss	null	null	1
ancient_bull_rancor	huntAndDestroy	1	ancient_bull_rancor	null	null	8
nightsister_elder	huntAndDestroy	12	nightsister_elder	null	null	1
peko_peko_albatross	huntAndDestroy	5	peko_peko_albatross	null	null	2
blurrg_raptor	huntAndDestroy	3	blurrg_raptor	null	null	3
enraged_kimogila	huntAndDestroy	4	enraged_kimogila	null	null	3
graul_marauder	huntAndDestroy	6	graul_marauder	null	null	2
stintaril_prowler	huntAndDestroy	2	stintaril_prowler	null	null	8
