planet	numShrines	locX	locY	locZ
s	i	f	f	f
tatooine	5			
		-6505.86	73.38	-3667.56
		5264.41	187.21	113.26
		-3622.88	247.12	5280.99
		5632.99	193.71	6015.32
		5958.15	154.61	-5684.21
naboo	4			
		7182.27	329.57	-234.99
		-6859.1	474.66	-1937.5
		2377.96	292.47	-473.98
		-2582.68	3.51	-6184.62
corellia	5			
		-6907.33	447.99	4527.25
		-7391.64	234.55	-3938.26
		6092.92	342.03	-5578.39
		6300.98	351.9	6687.86
		-2384.43	218.96	6393.02
rori	5			
		307.04	80.36	-978.61
		-6375.58	75.22	6403.77
		6854.18	84.68	-1221.95
		-4496.57	179.82	-7532.35
		-925.9	84.29	6046.02
talus	4			
		-5785.94	225.33	4478.12
		-5494.2	105.39	-3239.77
		5760.1	654.804	-5208.06
		318.11	13.68	5842.76
dantooine	5			
		-6173.19	34.09	4120.08
		2163.63	160.03	7548.13
		2640.77	11.22	-1536.78
		-1814.18	8.79	-6202.1
		-6999.36	11.29	-5269.79
lok	5			
		-3641.14	16.63	-6030.8
		-5806.67	33.46	1977.34
		-2132.63	106.14	5938.7
		5455.11	16.76	3805.51
		4978.77	114.7	-5674.48
endor	5			
		-3870.94	0	-4467.51
		5116.92	17.32	1923.95
		670.39	205.03	5548.37
		-5627.48	399.42	4813.63
		-5055.83	200.48	-1703.4
dathomir	5			
		-4961.48	129.98	-3493.42
		-4148.17	118.27	5926.19
		3087.47	124.22	4888.14
		5570.55	99.88	-1514.74
		1654.9	102.63	-5765.23
yavin4	4			
		-4585.29	587.79	-3761.25
		2389.64	79.73	-4934.82
		6454.92	17.89	6423.33
		-3362.3	234.76	6914.79
