NAME	MIN_DAMAGE	MAX_DAMAGE	ATTACK_SPEED	HEALTH_COST	ACTION_COST	MIND_COST
s	i	i	f	i	i	i
pistol_cdef	32	65	3.2	10	18	10
pistol_scout_blaster	82	153	1.9	10	17	10
pistol_sonic_blaster	134	234	2.1	17	24	11
pistol_republic_blaster	76	219	2.1	13	31	13
pistol_launcher	71	208	2.5	13	34	13
pistol_scatter	120	153	2.1	13	34	13
pistol_srcombat	93	175	2.6	19	28	12
pistol_striker	82	130	1.9	10	21	15
pistol_tangle	80	125	2.6	11	21	17
pistol_power5	71	202	2.1	13	21	20
pistol_fwg5	65	175	2.1	10	25	14
pistol_dx2	108	164	2.1	17	28	12
pistol_dl44	65	164	2.1	10	21	10
pistol_dh17	98	147	1.7	16	25	10
pistol_d18	60	130	1.5	10	20	10
carbine_cdef	32	65	3.2	10	18	10
carbine_dh17	121	226	2.4	16	22	11
carbine_dh17_snubnose	121	226	2.4	18	20	11
carbine_e11	121	203	2.3	21	25	14
carbine_laser	88	302	3.4	21	31	17
carbine_dxr6	153	220	3.4	21	31	16
carbine_ee3	132	242	2.5	27	23	14
carbine_elite	77	139	4.2	21	31	17
carbine_nym_slugthrower	103	217	4	36	62	32
rifle_cdef	32	65	3.7	10	18	10
rifle_dlt20	165	242	4.7	11	21	18
rifle_dlt20a	165	242	4.7	11	21	15
rifle_tusken	187	264	5.6	10	16	33
rifle_laser	88	418	5.4	11	17	39
rifle_sg82	115	187	5.3	18	17	29
rifle_spraystick	50	160	1.9	11	28	28
rifle_e11	143	231	4	11	17	26
rifle_jawa_ion	131	230	5.2	11	21	31
rifle_t21	175	417	5.8	28	24	48
rifle_tenloss_dxr6_disruptor_loot	213	396	4.2	21	22	29
rifle_berserker	158	306	4.5	10	21	29
rifle_lightning	425	719	4	31	41	27
heavy_rocket_launcher	1190	3900	6.5	70	43	39
rifle_flame_thrower	482	800	4.2	48	13	13
rifle_acid_beam	357	753	4.8	65	38	18
rifle_bowcaster	175	306	4.5	21	21	29
vibroknuckler	54	158	1.8	18	30	18
knife_survival	26	52	3.4	8	18	7
knife_dagger	26	59	3.2	7	23	7
sword_01	65	142	3	15	15	15
sword_02	71	153	2.6	13	28	18
baton_gaderiffi	120	198	3.8	33	18	7
knife_vibroblade	60	159	2.7	2	11	2
sword_blade_ryyk	71	154	2.8	27	21	18
sword_rantok	39	128	3.8	30	43	28
baton_stun	87	126	2.7	7	27	22
axe_heavy_duty	40	155	5	45	25	10
2h_sword_battleaxe	126	182	3.9	29	11	7
2h_sword_katana	60	220	2.9	15	35	18
axe_vibroaxe	126	237	4.3	46	28	11
2h_sword_cleaver	98	209	3.5	27	25	14
2h_sword_maul	126	413	5.6	66	18	10
2h_sword_scythe	175	287	2.8	22	40	18
lance_staff_wood_s1	40	89	4.5	14	30	14
lance_staff_metal	77	122	4.7	7	39	24
lance_staff_wood_s2	44	94	4.5	17	30	14
lance_vibrolance	66	243	4.5	35	49	18
polearm_vibro_axe	120	374	4.2	0	39	15
lance_controllerfp	54	274	3.8	14	32	15
