server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
h	i	f	f	f	f	f	f	f	s	p
object/tangible/spawning/kashyyyk/hracca_control_object.iff	0	863.474	12.9327	395.632	1	0	0	0	theme_park.dungeon.space_dungeon_controller	isControllerObject|0|1|space_dungeon.is_active|0|1|space_dungeon.name|4|monster_island_hracca|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	710.945	12.8105	346.476	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	767.346	13.6792	346.145	0.935897	0	-0.352274	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	762.396	13.5511	344.717	0.935897	0	-0.352274	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	714.323	13.0196	348.223	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	624.875	13.4309	381.333	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	623.698	13.3759	385.478	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	549.174	14.1613	364.95	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	553.255	14.2011	368.946	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	546.786	14.1176	375.894	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	550.65	14.1611	378.421	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	542.534	14.1176	367.45	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	475.872	13.1495	458.011	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	469.445	14.0642	465.645	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	463.146	14.4432	469.04	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	373.875	14.1147	429.918	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	375.918	14.2576	432.789	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	379.676	14.2576	437.575	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	425.969	13.111	528.666	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	429.357	13.4619	518.753	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	423.262	12.9555	522.388	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_kkorrwrot_spawner.iff	0	267.698	13.5824	579.107	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|kkorrwrot|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	301.918	14.0877	476.017	0.597834	0	0.80162	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	302.826	14.2056	480.377	0.597834	0	0.80162	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	237.716	14.1707	425.531	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	246.481	14.1176	424.332	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	248.674	13.8894	433.278	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	273.338	15.0107	550.042	0.870293	0	-0.492535	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	277.543	14.7385	546.96	0.870293	0	-0.492535	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	257.872	13.5191	619.054	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	267.487	13.7584	624.644	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
object/tangible/spawning/kashyyyk/hracca_chiss_spawner.iff	0	158.404	14.3856	536.615	1	0	0	0	theme_park.kashyyyk.hracca_spawner	intSpawnCount|0|1|registerWithController|0|1|spawnType|4|chiss|$|
