server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
h	i	f	f	f	f	f	f	f	s	p
object/tangible/spawning/kashyyyk/bocctyyy_bet_control_object.iff	0	55.6356	11.5686	63.7562	1	0	0	0	theme_park.dungeon.space_dungeon_controller	isControllerObject|0|1|space_dungeon.is_active|0|1|space_dungeon.name|4|the_bet_bocctyyy|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	192.492	11.6051	124.957	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	209.235	11.098	116.853	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	198.301	11.273	90.1851	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	190.827	11.6904	55.6205	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	208.838	11.5258	49.6922	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	315.424	12.7991	52.7316	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	334.189	12.1564	51.3474	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	305.939	12.8702	62.7631	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	391.32	12.1751	83.5883	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	385.261	12.0987	104.758	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	420.138	12.0608	125.932	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	371.236	11.9977	154.176	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	279.047	10.8948	159.061	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	252.154	10.6214	171.673	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
object/tangible/spawning/kashyyyk/bocctyyy_bet_spawner.iff	0	296.34	12.0519	177.793	1	0	0	0	theme_park.kashyyyk.bocctyyy_bet_spawner	intSpawnCount|0|3|registerWithController|0|1|$|
