SPAWN	X	Y	Z	YAW	CELL
s	f[0]	f[0]	f[0]	f[0]	s[WORLD_DELTA]
imperial_recruiter	-17.9	1.01	16.92	0	meeting1
egg:stormtrooper_novatrooper_elite_commander	8.47	1.01	8.75	0	mainhall
egg:stormtrooper_novatrooper_elite_commander	-8.47	1.01	8.75	0	mainhall
egg:stormtrooper_novatrooper_elite_commander	17.97	1.01	16.22	0	meeting2
egg:stormtrooper_novatrooper_elite_commander	0	1.01	-6.5	0	mainhall
egg:stormtrooper_novatrooper_elite_commander	0	1.01	-20.5	0	storage1
egg:stormtrooper_novatrooper_elite_commander	-16.11	1.01	-4.18	0	staircase
egg:stormtrooper_novatrooper_elite_commander	-13.5	7.01	-13	0	hall2
egg:stormtrooper_novatrooper_elite_commander	7.5	7.01	10	0	foyer2
