SLICE_CAT	SLICE	SKILL_REQ	STAT	AMOUNT	COST	RANK	COMPONENT
s	s	i	s	i	i	i	s
enh_resilience		5					
	strengthen_jointing	5	resilience	10	25	1	
	custom_seals	30	resilience	20	25	2	simple_toolkit
	install_under_layer	75	resilience	30	25	3	shock_absorbent_padding
impact_deflect		15					
	reflect_coat	15	deflect	20	25	1	
	rework_plating	50	deflect	40	25	2	finely_crafted_toolset
	install_motivators	100	deflect	60	25	3	powered_motivators
hardening		50					
	intraframe_basic	50	crit_chance	1	15	1	
	intraframe_trandoshan	75	crit_chance	2	35	2	trandoshan_interframe
	intraframe_mandalorian	100	crit_chance	3	50	3	mandalorian_interframe
armor_break		50					
	vital_padding	50	armor_break	25	20	1	
	vital_plating	75	armor_break	50	20	2	shock_absorbent_padding
	vital_plating_reactive	100	armor_break	75	20	3	reactive_micro_plating
