tusken	ig88	axkva	sd_boss	sd_sub_1	sd_sub_2	sd_sub_3	exar_open_hand	exar_minder	exar_caretaker	exar_hate_fist	exar_exar_kun	exar_gackle_bat	echo_base_tauntaun_generic	echo_base_wampa_generic	echo_base_wampa_berserker	echo_base_generic_soldier	echo_base_rebel_soldier	echo_base_imperial_soldier
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
dungeon/heroic_drops:tusken	dungeon/heroic_drops:ig88	dungeon/heroic_drops:axkva	dungeon/heroic_drops:sd_boss	dungeon/heroic_drops:sd_sub_1	dungeon/heroic_drops:sd_sub_2	dungeon/heroic_drops:sd_sub_3	dungeon/heroic_drops:exar_open_hand	dungeon/heroic_drops:exar_minder	dungeon/heroic_drops:exar_caretaker	dungeon/heroic_drops:exar_hate_fist	dungeon/heroic_drops:exar_exar_kun	dungeon/heroic_drops:exar_gackle_bat	dungeon/heroic_drops:echo_base_tauntaun_junk	dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_wampa_berserker	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_rebel_soldier	dungeon/heroic_drops:echo_base_imperial_soldier
dungeon/heroic_drops:tusken	dungeon/heroic_drops:ig88	dungeon/heroic_drops:axkva	dungeon/heroic_drops:sd_boss	dungeon/heroic_drops:sd_sub_1	dungeon/heroic_drops:sd_sub_2	dungeon/heroic_drops:sd_sub_3	dungeon/heroic_drops:exar_open_hand	dungeon/heroic_drops:exar_minder	dungeon/heroic_drops:exar_caretaker	dungeon/heroic_drops:exar_hate_fist	dungeon/heroic_drops:exar_exar_kun	dungeon/heroic_drops:exar_gackle_bat			dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_rebel_soldier	dungeon/heroic_drops:echo_base_imperial_soldier
dungeon/heroic_drops:tusken	dungeon/heroic_drops:ig88	dungeon/heroic_drops:axkva	dungeon/heroic_drops:sd_boss	dungeon/heroic_drops:sd_sub_1	dungeon/heroic_drops:sd_sub_2	dungeon/heroic_drops:sd_sub_3	dungeon/heroic_drops:exar_open_hand	dungeon/heroic_drops:exar_minder	dungeon/heroic_drops:exar_caretaker	dungeon/heroic_drops:exar_hate_fist	dungeon/heroic_drops:exar_exar_kun	dungeon/heroic_drops:exar_gackle_bat			dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_generic_soldier
crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic			dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_generic_soldier
															dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_generic_soldier
															dungeon/heroic_drops:echo_base_wampa_junk		dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk
															dungeon/heroic_drops:echo_base_wampa_junk		dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk
																	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk
																	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk
