pob_file_name	eject_x	eject_y	eject_z	eject_facing_yaw_degrees	comment
s	f	f	f	f	c
appearance/poi_all_bunker_allum_mine.pob	14	-2	6	90	Position and yaw are relative to building.
appearance/ply_tato_merchant_tent_s01.pob	0	0	3.1	90	shared_player_merchant_tent_style_01.iff
appearance/ply_corl_merchant_tent_s01.pob	0	0	3.1	90	shared_player_merchant_tent_style_02.iff
appearance/ply_nboo_merchant_tent_s01.pob	0	0	3.1	90	shared_player_merchant_tent_style_03.iff
appearance/ply_corl_house_sm_s02_fp2.pob	-3.5	0.5	10	90	shared_player_house_corellia_small_style_02_floorplan_02.iff
appearance/ply_corl_house_sm_s02_fp1.pob	-3.5	0.5	10	90	shared_player_house_corellia_small_style_02.iff
appearance/ply_corl_house_m_s01_fp1.pob	7.6	0.5	10	90	shared_player_house_corellia_medium_style_01.iff
appearance/ply_corl_house_lg_s01_fp1.pob	0	0.5	18	90	shared_player_house_corellia_large_style_01.iff
appearance/ply_corl_house_lg_s02_fp1.pob	-12	0.5	17	90	shared_player_house_corellia_large_style_02.iff
appearance/ply_all_house_lg_window_s02_hue.pob	-12	0.5	16.5	90	shared_player_house_generic_large_window_s01.iff
appearance/ply_all_house_lg_s01_fp1.pob	0	0.5	18	90	shared_player_house_generic_large_style_01.iff
appearance/ply_all_house_lg_s02_fp1.pob	-12	0.5	17	90	shared_player_house_generic_large_style_02.iff
appearance/ply_all_house_m_window_s01_hue.pob	8	0.5	10.5	90	shared_player_house_generic_medium_windowed.iff
appearance/ply_all_house_m_s01_fp1.pob	7.6	0.5	10	90	shared_player_house_generic_medium_sytle_01.iff
appearance/ply_all_house_sm_s02_fp2.pob	-3.5	0.5	11	90	shared_player_house_generic_small_style_02_floorplan_02.iff
appearance/ply_all_house_sm_s02_fp1.pob	-3.5	0.5	11	90	shared_player_house_generic_small_style_02.iff
appearance/ply_all_house_lg_s03_fp1.pob	0	1	13	90	shared_player_house_mustafar_lg.iff
appearance/ply_nboo_house_sm_s01_window_hue.pob	0	0.5	-10	90	shared_player_house_naboo_small_window_style_01.iff
appearance/ply_nboo_house_sm_s01_fp1.pob	0	0.5	-10	90	shared_player_house_naboo_small_style_01.iff
appearance/ply_tato_house_lg_s01_fp1.pob	-4.5	0.5	18.5	90	shared_player_house_tatooine_large_style_01.iff
appearance/ply_tato_house_m_s01_fp1.pob	-6	0.5	15	90	shared_player_house_tatooine_medium_style_01.iff
appearance/poi_all_diner.pob	6	0.1	7	90	shared_diner_no_planet_restriction.iff
appearance/poi_all_barn.pob	0	0.3	6	90	shared_barn_no_planet_restriction.iff
appearance/ply_jedi_meditation_room.pob	0	1	8	90	shared_player_house_jedi_meditation_room.iff
appearance/ply_nboo_cantina_s01.pob	0	0.6	18	90	shared_cantina_naboo.iff
appearance/ply_tato_cantina_s01.pob	0	0.6	18	90	shared_cantina_tatooine.iff
appearance/ply_corl_cantina_s01.pob	0	0.1	18	90	shared_cantina_corellia.iff
appearance/ply_nboo_assoc_hall_civ_s01.pob	0	0.5	26.5	90	shared_player_guildhall_naboo_style_01.iff
appearance/ply_all_assoc_hall_civ_s01.pob	0	0.5	26.5	90	shared_player_guildhall_generic_style_01.iff
appearance/ply_corl_assoc_hall_civ_s01.pob	0	0.5	26.5	90	shared_player_guildhall_corellia_style_01.iff
appearance/ply_tato_assoc_hall_civ_s02.pob	0	0.5	18.5	90	shared_player_guildhall_tatooine_style_02.iff
appearance/ply_corl_theater_s01.pob	0	0.2	11.5	90	shared_theater_corellia.iff
appearance/ply_nboo_theater_s01.pob	0	0.2	11.5	90	shared_theater_naboo.iff
appearance/ply_tato_theater_s01.pob	0	0.2	11.5	90	shared_theater_tatooine.iff
appearance/ply_tato_hospital_s01.pob	12	0.2	0	90	shared_hospital_tatooine.iff
appearance/ply_nboo_hospital_s01.pob	12	0.2	0	90	shared_hospital_naboo.iff
appearance/ply_corl_hospital_s01.pob	12	0.2	0	90	shared_hospital_corellia.iff
appearance/ply_all_swimming_pool.pob	0	0.4	14.5	90	shared_player_house_tcg_relaxation_pool.iff
appearance/ply_all_hangar.pob	0	0	0	90	shared_player_house_hangar.iff
appearance/ply_all_atat_house.pob	0	0	0	90	share_player_house_ata.iff
