bounty_low	bounty_medium	bounty_elite	bounty_boss
s	s	s	s
wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
wearables/dynamic_clothing_standard	wearables/dynamic_armor_standard	wearables/dynamic_clothing_standard	wearables/dynamic_armor_boss
wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_clothing_standard	wearables/dynamic_armor_boss
wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_clothing_standard	wearables/dynamic_armor_boss
wearables/dynamic_armor_standard		wearables/dynamic_clothing_standard	wearables/dynamic_armor_boss
wearables/dynamic_armor_standard		wearables/dynamic_clothing_standard	wearables/dynamic_armor_boss
		wearables/dynamic_armor_standard	wearables/dynamic_armor_boss
		wearables/dynamic_armor_standard	wearables/dynamic_armor_boss
		wearables/dynamic_armor_standard	wearables/dynamic_armor_boss
		wearables/dynamic_armor_standard	wearables/dynamic_armor_boss
		wearables/dynamic_armor_standard	wearables/dynamic_clothing_boss
		wearables/dynamic_armor_standard	wearables/dynamic_clothing_boss
		wearables/dynamic_armor_standard	wearables/dynamic_clothing_boss
		wearables/dynamic_armor_standard	crafting_loot/saber_crystals_high:power_crystal
		wearables/dynamic_armor_boss	mission/bounty:armor_schematic
		wearables/dynamic_clothing_boss	mission/bounty:armor_schematic
		mission/bounty:armor_schematic	mission/bounty:armor_schematic
		mission/bounty:armor_schematic	mission/bounty:armor_schematic
