strItems	force_dark	force_light
s	s	s
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80	cash_loot/npc_cash_loot_71_80
