elite_npc_1_10	elite_npc_11_20	elite_npc_21_30	elite_npc_31_40	elite_npc_41_50	elite_npc_51_60	elite_npc_61_70	elite_npc_71_80	elite_npc_81_90	elite_force_light_npc_71_80	elite_force_dark_npc_71_80	elite_force_light_npc_81_90	elite_force_dark_npc_81_90
s	s	s	s	s	s	s	s	s	s	s	s	s
wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
	crafting_loot/weapon_components:wp_comp_11_20	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss
		wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard
		crafting_loot/weapon_components:wp_comp_21_30	crafting_loot/weapon_components:wp_comp_31_40	wearables/jedi_robes_low	wearables/jedi_robes_low	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
				crafting_loot/weapon_components:wp_comp_41_50	crafting_loot/weapon_components:wp_comp_51_60	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
						wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
						wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
						wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
						wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss
						wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard
						crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal
						wearables/jedi_robes_medium	wearables/jedi_robes_medium	wearables/jedi_robes_high	wearables/jedi_robes_medium	wearables/jedi_robes_medium	wearables/jedi_robes_high	wearables/jedi_robes_high
						crafting_loot/weapon_components:wp_comp_61_70	crafting_loot/weapon_components:wp_comp_71_80	crafting_loot/weapon_components:wp_comp_81_90			treasure/col_5th_gen_1h_lightsaber	treasure/col_5th_gen_1h_lightsaber
