footwear	shoeColorMin	shoeColorMax	pants	pantsColorMin	pantsColorMax	shirt	shirtColorMin	shirtColorMax	jacket	jacketColorMin	jacketColorMax
s	i[0]	i[0]	s	i[0]	i[0]	s	i[0]	i[0]	s	i[0]	i[0]
object/tangible/wearables/boots/boots_s03.iff			object/tangible/wearables/pants/pants_s01.iff			object/tangible/wearables/shirt/shirt_s05.iff			object/tangible/wearables/jacket/jacket_s05.iff		
object/tangible/wearables/boots/boots_s04.iff			object/tangible/wearables/pants/pants_s04.iff			object/tangible/wearables/shirt/shirt_s07.iff			object/tangible/wearables/jacket/jacket_s12.iff		
object/tangible/wearables/boots/boots_s15.iff			object/tangible/wearables/pants/pants_s05.iff			object/tangible/wearables/shirt/shirt_s10.iff			object/tangible/wearables/jacket/jacket_s16.iff		
object/tangible/wearables/boots/boots_s05.iff			object/tangible/wearables/pants/pants_s08.iff			object/tangible/wearables/shirt/shirt_s11.iff			object/tangible/wearables/jacket/jacket_s19.iff		
object/tangible/wearables/boots/boots_s03.iff			object/tangible/wearables/pants/pants_s13.iff			object/tangible/wearables/shirt/shirt_s14.iff			object/tangible/wearables/jacket/jacket_s24.iff		
object/tangible/wearables/boots/boots_s04.iff			object/tangible/wearables/pants/pants_s22.iff			object/tangible/wearables/shirt/shirt_s16.iff			object/tangible/wearables/jacket/jacket_s36.iff		
object/tangible/wearables/boots/boots_s15.iff			object/tangible/wearables/pants/pants_s25.iff			object/tangible/wearables/shirt/shirt_s05.iff			object/tangible/wearables/vest/vest_s01.iff		
object/tangible/wearables/boots/boots_s05.iff			object/tangible/wearables/pants/pants_s01.iff			object/tangible/wearables/shirt/shirt_s07.iff			object/tangible/wearables/vest/vest_s04.iff		
			object/tangible/wearables/pants/pants_s04.iff			object/tangible/wearables/shirt/shirt_s10.iff			object/tangible/wearables/vest/vest_s05.iff		
			object/tangible/wearables/pants/pants_s05.iff			object/tangible/wearables/shirt/shirt_s11.iff			object/tangible/wearables/jacket/jacket_s05.iff		
			object/tangible/wearables/pants/pants_s08.iff			object/tangible/wearables/shirt/shirt_s14.iff			object/tangible/wearables/jacket/jacket_s12.iff		
			object/tangible/wearables/pants/pants_s13.iff			object/tangible/wearables/shirt/shirt_s16.iff			object/tangible/wearables/jacket/jacket_s16.iff		
			object/tangible/wearables/pants/pants_s22.iff			object/tangible/wearables/shirt/shirt_s11.iff			object/tangible/wearables/jacket/jacket_s19.iff		
			object/tangible/wearables/pants/pants_s25.iff			object/tangible/wearables/shirt/shirt_s14.iff			object/tangible/wearables/jacket/jacket_s24.iff		
			object/tangible/wearables/pants/pants_s01.iff			object/tangible/wearables/shirt/shirt_s16.iff			object/tangible/wearables/jacket/jacket_s36.iff
