pants	pantsColorMin	pantsColorMax	shirt	shirtColorMin	shirtColorMax
s	i[0]	i[0]	s	i[0]	i[0]
object/tangible/wearables/ithorian/ith_pants_s01.iff			object/tangible/wearables/ithorian/ith_shirt_s01.iff		
object/tangible/wearables/ithorian/ith_pants_s02.iff			object/tangible/wearables/ithorian/ith_shirt_s02.iff		
object/tangible/wearables/ithorian/ith_pants_s03.iff			object/tangible/wearables/ithorian/ith_shirt_s03.iff		
object/tangible/wearables/ithorian/ith_pants_s04.iff			object/tangible/wearables/ithorian/ith_shirt_s04.iff		
object/tangible/wearables/ithorian/ith_pants_s05.iff			object/tangible/wearables/ithorian/ith_shirt_s05.iff		
object/tangible/wearables/ithorian/ith_pants_s06.iff			object/tangible/wearables/ithorian/ith_shirt_s06.iff		
object/tangible/wearables/ithorian/ith_pants_s07.iff			object/tangible/wearables/ithorian/ith_shirt_s07.iff		
object/tangible/wearables/ithorian/ith_pants_s08.iff			object/tangible/wearables/ithorian/ith_shirt_s08.iff		
object/tangible/wearables/ithorian/ith_pants_s09.iff			object/tangible/wearables/ithorian/ith_shirt_s09.iff		
object/tangible/wearables/ithorian/ith_pants_s10.iff			object/tangible/wearables/ithorian/ith_shirt_s10.iff		
object/tangible/wearables/ithorian/ith_pants_s11.iff			object/tangible/wearables/ithorian/ith_shirt_s11.iff		
object/tangible/wearables/ithorian/ith_pants_s12.iff			object/tangible/wearables/ithorian/ith_shirt_s12.iff		
object/tangible/wearables/ithorian/ith_pants_s13.iff			object/tangible/wearables/ithorian/ith_shirt_s13.iff		
