footwear	shoeColorMin	shoeColorMax	pants	pantsColorMin	pantsColorMax	shirt	shirtColorMin	shirtColorMax	jacket	jacketColorMin	jacketColorMax	accessories	accColorMin	accColorMax
s	i[0]	i[0]	s	i[0]	i[0]	s	i[0]	i[0]	s	i[0]	i[0]	s	i[0]	i[0]
object/tangible/wearables/boots/boots_s19.iff			object/tangible/wearables/pants/pants_s01.iff			object/tangible/wearables/shirt/shirt_s09.iff			object/tangible/wearables/vest/vest_hutt_gang_s01.iff			object/tangible/wearables/gloves/gloves_s06.iff		
object/tangible/wearables/boots/boots_s21.iff			object/tangible/wearables/pants/pants_s04.iff			object/tangible/wearables/shirt/shirt_s10.iff			object/tangible/wearables/vest/vest_hutt_gang_s02.iff			object/tangible/wearables/gloves/gloves_s10.iff		
object/tangible/wearables/boots/boots_s22.iff			object/tangible/wearables/pants/pants_s05.iff			object/tangible/wearables/shirt/shirt_s13.iff			object/tangible/wearables/vest/vest_hutt_gang_s03.iff			object/tangible/wearables/gloves/gloves_s12.iff		
object/tangible/wearables/boots/boots_s34.iff			object/tangible/wearables/pants/pants_s06.iff			object/tangible/wearables/shirt/shirt_s14.iff								
object/tangible/wearables/shoes/shoes_s02.iff			object/tangible/wearables/pants/pants_s07.iff			object/tangible/wearables/shirt/shirt_s15.iff								
			object/tangible/wearables/pants/pants_s11.iff			object/tangible/wearables/shirt/shirt_s16.iff								
			object/tangible/wearables/pants/pants_s21.iff											
			object/tangible/wearables/pants/pants_s28.iff											
			object/tangible/wearables/pants/pants_s29.iff											
			object/tangible/wearables/pants/pants_s30.iff											
			object/tangible/wearables/pants/pants_s31.iff											
