footwear	shoeColorMin	shoeColorMax	pants	pantsColorMin	pantsColorMax	shirt	shirtColorMin	shirtColorMax	jacket	jacketColorMin	jacketColorMax
s	i[0]	i[0]	s	i[0]	i[0]	s	i[0]	i[0]	s	i[0]	i[0]
object/tangible/wearables/boots/boots_s14.iff			object/tangible/wearables/pants/pants_s09.iff			object/tangible/wearables/shirt/shirt_s03.iff			object/tangible/wearables/jacket/jacket_s07.iff		
object/tangible/wearables/boots/boots_s12.iff			object/tangible/wearables/pants/pants_s10.iff			object/tangible/wearables/shirt/shirt_s08.iff			object/tangible/wearables/jacket/jacket_s11.iff		
			object/tangible/wearables/pants/pants_s12.iff			object/tangible/wearables/shirt/shirt_s11.iff			object/tangible/wearables/jacket/jacket_s13.iff		
			object/tangible/wearables/pants/pants_s14.iff			object/tangible/wearables/shirt/shirt_s13.iff			object/tangible/wearables/jacket/jacket_s14.iff		
			object/tangible/wearables/pants/pants_s15.iff			object/tangible/wearables/shirt/shirt_s15.iff			object/tangible/wearables/jacket/jacket_s17.iff		
			object/tangible/wearables/pants/pants_s28.iff			object/tangible/wearables/shirt/shirt_s30.iff			object/tangible/wearables/jacket/jacket_s22.iff		
			object/tangible/wearables/pants/pants_s09.iff			object/tangible/wearables/shirt/shirt_s03.iff			object/tangible/wearables/vest/vest_s04.iff		
			object/tangible/wearables/pants/pants_s10.iff			object/tangible/wearables/shirt/shirt_s08.iff			object/tangible/wearables/jacket/jacket_s07.iff		
			object/tangible/wearables/pants/pants_s12.iff			object/tangible/wearables/shirt/shirt_s11.iff			object/tangible/wearables/jacket/jacket_s11.iff		
			object/tangible/wearables/pants/pants_s14.iff			object/tangible/wearables/shirt/shirt_s13.iff			object/tangible/wearables/jacket/jacket_s13.iff		
			object/tangible/wearables/pants/pants_s15.iff			object/tangible/wearables/shirt/shirt_s15.iff			object/tangible/wearables/jacket/jacket_s14.iff		
			object/tangible/wearables/pants/pants_s28.iff			object/tangible/wearables/shirt/shirt_s30.iff			object/tangible/wearables/jacket/jacket_s17.iff		
			object/tangible/wearables/pants/pants_s15.iff			object/tangible/wearables/shirt/shirt_s03.iff			object/tangible/wearables/vest/vest_s04.iff		
			object/tangible/wearables/pants/pants_s28.iff			object/tangible/wearables/shirt/shirt_s08.iff			object/tangible/wearables/jacket/jacket_s13.iff		
