shirt	pants	jackets
s	s	s
object/tangible/wearables/shirt/shirt_dera.iff	object/tangible/wearables/pants/pants_s01.iff	object/tangible/wearables/jacket/jacket_s02.iff
object/tangible/wearables/shirt/shirt_s03.iff	object/tangible/wearables/pants/pants_s02.iff	object/tangible/wearables/jacket/jacket_s03.iff
object/tangible/wearables/shirt/shirt_s05.iff	object/tangible/wearables/pants/pants_s04.iff	object/tangible/wearables/jacket/jacket_s05.iff
object/tangible/wearables/shirt/shirt_s07.iff	object/tangible/wearables/pants/pants_s05.iff	object/tangible/wearables/jacket/jacket_s06.iff
object/tangible/wearables/shirt/shirt_s08.iff	object/tangible/wearables/pants/pants_s06.iff	object/tangible/wearables/jacket/jacket_s07.iff
object/tangible/wearables/shirt/shirt_s09.iff	object/tangible/wearables/pants/pants_s07.iff	object/tangible/wearables/jacket/jacket_s08.iff
object/tangible/wearables/shirt/shirt_s10.iff	object/tangible/wearables/pants/pants_s08.iff	object/tangible/wearables/jacket/jacket_s10.iff
object/tangible/wearables/shirt/shirt_s11.iff	object/tangible/wearables/pants/pants_s09.iff	object/tangible/wearables/jacket/jacket_s11.iff
object/tangible/wearables/shirt/shirt_s12.iff	object/tangible/wearables/pants/pants_s10.iff	object/tangible/wearables/jacket/jacket_s12.iff
object/tangible/wearables/shirt/shirt_s13.iff	object/tangible/wearables/pants/pants_s11.iff	object/tangible/wearables/jacket/jacket_s13.iff
object/tangible/wearables/shirt/shirt_s14.iff	object/tangible/wearables/pants/pants_s12.iff	object/tangible/wearables/jacket/jacket_s14.iff
object/tangible/wearables/shirt/shirt_s15.iff	object/tangible/wearables/pants/pants_s13.iff	object/tangible/wearables/jacket/jacket_s15.iff
object/tangible/wearables/shirt/shirt_s16.iff	object/tangible/wearables/pants/pants_s14.iff	object/tangible/wearables/jacket/jacket_s16.iff
object/tangible/wearables/shirt/shirt_s24.iff	object/tangible/wearables/pants/pants_s15.iff	object/tangible/wearables/jacket/jacket_s17.iff
object/tangible/wearables/shirt/shirt_s24.iff	object/tangible/wearables/pants/pants_s17.iff	object/tangible/wearables/jacket/jacket_s18.iff
object/tangible/wearables/shirt/shirt_s26.iff	object/tangible/wearables/pants/pants_s18.iff	object/tangible/wearables/jacket/jacket_s19.iff
object/tangible/wearables/shirt/shirt_s27.iff	object/tangible/wearables/pants/pants_s21.iff	object/tangible/wearables/jacket/jacket_s21.iff
object/tangible/wearables/shirt/shirt_s28.iff	object/tangible/wearables/pants/pants_s22.iff	object/tangible/wearables/jacket/jacket_s22.iff
object/tangible/wearables/shirt/shirt_s24.iff	object/tangible/wearables/pants/pants_s24.iff	object/tangible/wearables/jacket/jacket_s24.iff
object/tangible/wearables/shirt/shirt_s30.iff	object/tangible/wearables/pants/pants_s25.iff	object/tangible/wearables/jacket/jacket_s25.iff
	object/tangible/wearables/pants/pants_s26.iff	object/tangible/wearables/jacket/jacket_s26.iff
	object/tangible/wearables/pants/pants_s27.iff	object/tangible/wearables/jacket/jacket_s35.iff
	object/tangible/wearables/pants/pants_s28.iff	object/tangible/wearables/jacket/jacket_s36.iff
	object/tangible/wearables/pants/pants_s29.iff	
	object/tangible/wearables/pants/pants_s30.iff	
	object/tangible/wearables/pants/pants_s31.iff	
	object/tangible/wearables/pants/pants_s32.iff	
	object/tangible/wearables/pants/pants_s33.iff	
