id	count
s	i
85610557854	1
114445779231	1
133642754903	1
141163231821	1
141359919780	2
145127246359	1
148389923928	1
148415394548	2
151393221581	1
151721388662	1
153281828657	1
154619144854	1
165891166976	1
169871010746	1
175548200457	1
176044608836	1
180131619291	1
180809999973	2
181097578312	1
181381297662	1
182316950919	1
183220770408	2
184003431768	1
186035804702	1
186252014566	1
186471563874	1
186495898556	1
186594473250	1
186887018231	1
187131001783	1
188305155360	1
189352733212	1
189390628665	1
194532186335	1
195087598173	1
195332768508	1
195380211425	1
195380212116	1
195971448152	2
196289112721	2
196526121899	1
196554332152	1
196574182149	3
196820870674	3
197028018752	2
197120297339	1
197525786105	3
197595415221	1
197595415459	1
197638712374	1
198352114504	1
198521095521	1
198612489898	1
198634875260	1
198635065168	1
198792664557	1
199075293889	1
199181668835	1
199225867416	1
199409854514	1
199515946398	2
199829767531	1
200130493707	1
200202580383	1
200555578197	1
200676290871	1
200827390297	1
200885228085	1
200995902824	1
201010324906	1
201028649194	1
201187214944	1
201187214994	2
201280858642	1
201410662426	1
201633120711	1
201641852544	1
