id	count
s	i
83783136640	1
87861140977	1
88022843436	1
95122989064	1
107854053887	1
109938551798	1
130573992444	1
130833662094	1
135154931361	1
136483665649	2
138915091055	1
139165872918	1
142284123159	1
143088389075	1
147366903952	1
148019731673	1
149824555917	1
154278995430	1
154278995948	1
154278996312	1
156407706247	1
156448108552	1
159608532635	1
159608533146	1
159785431762	1
160769345200	1
161515510786	1
162631042649	1
166542809428	1
166616091502	3
166651066124	1
168373035893	1
168373035931	1
168373035954	1
168373054808	1
168503879213	1
170157359804	1
171550032224	2
172581211285	1
174299031165	1
177636283106	1
178859378317	1
179694612656	2
181110105994	1
181284880524	2
181541254216	1
181686691108	1
181952275646	1
182369587141	1
183105730432	1
183238507828	1
183313167572	1
183429320038	1
183442593655	1
183547853534	1
