id	count
s	i
50909430126	1
77178679136	1
90894378853	1
94249030496	1
96180343810	1
100585657204	1
100758911307	1
104755921375	1
104764917242	1
106251958309	2
110466629856	1
113852722408	1
115744153533	2
118175481165	2
119367096105	1
121505732292	1
122659281274	1
122896168819	1
123515826005	2
123985524646	1
124962479681	1
125568156455	2
127150697110	2
128441000522	1
131461211837	2
131690012386	1
132965582650	1
133902406830	1
133902856455	1
136454147258	2
138623142935	2
138998033478	1
141514847484	1
143686809433	1
145925405345	1
147668015471	1
148777629971	2
149806092467	1
154309618055	1
155670838973	1
156861448919	1
156984418147	2
157420370957	1
157684054291	1
157936514449	1
158141994495	2
158221389146	1
158272372642	1
158649449460	1
158700723197	1
159038262392	3
159104133479	1
159173712255	2
159173714242	1
159251279639	1
159710840527	1
160065470347	1
160262842087	2
