id	count
s	i
84783192371	1
109487473284	1
113859954553	1
115663458314	2
120407908871	1
121771347994	2
130813902282	1
131167885994	1
131188477493	1
132109835896	1
132824665872	1
137412671160	1
145659480363	1
149475826044	3
157016302426	1
166156777879	1
167365505603	1
171146718722	3
171399493962	3
172165401811	2
172196213592	1
172229936700	1
172452394010	2
172476523862	1
172478857114	1
172569952218	1
172860239509	1
173645684928	1
173892602290	1
173913152793	1
173913152810	1
174125188210	3
174257934282	2
174258103572	1
174638000936	1
174644677598	1
174844141724	1
175226901556	1
175227307177	1
175227319313	1
175434017382	2
175434017656	1
175528416848	1
175538409500	1
