NAME	PARENT	GRAPH_TYPE	GOD_ONLY	IS_TITLE	IS_PROFESSION	IS_HIDDEN	MONEY_REQUIRED	POINTS_REQUIRED	SKILLS_REQUIRED_COUNT	SKILLS_REQUIRED	PRECLUSION_SKILLS	XP_TYPE	XP_COST	XP_CAP	MISSIONS_REQUIRED	APPRENTICESHIPS_REQUIRED	STATS_REQUIRED	SPECIES_REQUIRED	JEDI_STATE_REQUIRED	SKILL_ABILITY	COMMANDS	SKILL_MODS	SCHEMATICS_GRANTED	SCHEMATICS_REVOKED	SEARCHABLE	ENDER
s	s	"e(oneByFour=1,twoByFour=2,threeByFour=3,fourByFour=4,pyramid=5)[fourByFour]"	b	b	b	b	i	i	i[0]	s	s	s	i	i	s	i	s	s	"e(none=0,forceSensitive=1,jedi=2,forceRankedLight=4,forceRankedDark=8)[none]"	s	s	s	s	s	b[1]	i
swg_dev			1	1	1	1	0	0						0											0	0
swg_cs			1	1	1	1	0	0						0											0	0
combat_melee_basic			0	0	0	0	0	0						0											0	0
combat_ranged_weapons_basic			0	0	0	0	0	0						0											0	0
demo_combat			0	0	0	0	0	0						0											0	0
common_knowledge			0	0	0	0	0	0						0											0	0
utility			1	0	0	0	0	0						0											0	0
utility_beta	utility		1	0	0	0	0	0						0											0	0
utility_beta_demo_combat	utility_beta		1	0	0	0	0	0					0	0											0	0
utility_player	utility		1	0	0	0	0	0						0											0	0
class			1	0	0	1	0	0						0											0	0
class_trader	class		0	0	0	0	0	0						0											0	0
class_forcesensitive_phase1	class	oneByFour	0	0	1	0	0	0						0											1	0
class_forcesensitive_phase1_novice	class_forcesensitive_phase1	oneByFour	0	0	0	0	100	0				combat_general	100	4810							fs_dm_1	"slope_move=25,cybernetic_psychosis_resistance=2"			1	0
class_forcesensitive_phase1_02	class_forcesensitive_phase1	oneByFour	0	0	0	0	100	0		class_forcesensitive_phase1_novice		combat_general	3700	16120							"fs_buff_ca_1,forceThrow"	"private_use_buff_chance_line_fs_ae_dm_cc=1,private_use_buff_chance_line_fs_force_throw=1,private_use_buff_chance_line_fs_heal=1,expertise_focus_strength=25,expertise_focus_critical_buff_line=1"			1	0
class_forcesensitive_phase1_03	class_forcesensitive_phase1_02	oneByFour	0	0	0	0	100	0		class_forcesensitive_phase1_02		combat_general	12400	30160							"fs_buff_def_1_1,fs_force_spark"	"expertise_stance_constitution=10,expertise_stance_glance_buff_line=1"			1	0
