LOOT	MIN_ROLL
s	i
object/tangible/food/spice/spice_kwi_boost.iff	20
object/tangible/food/spice/spice_kliknik_boost.iff	40
object/tangible/food/spice/spice_crash_n_burn.iff	60
object/tangible/loot/quest/bantha_doll.iff	80
object/tangible/loot/collectible/collectible_parts/orange_rug_adhesive.iff	85
object/tangible/loot/collectible/collectible_parts/orange_rug_dye.iff	86
object/tangible/loot/collectible/collectible_parts/orange_rug_patches.iff	87
object/tangible/loot/collectible/collectible_parts/blue_rug_adhesive.iff	88
object/tangible/loot/collectible/collectible_parts/blue_rug_dye.iff	89
object/tangible/loot/collectible/collectible_parts/blue_rug_patches.iff	90
object/tangible/loot/collectible/collectible_parts/gong_adhesive.iff	91
object/tangible/loot/collectible/collectible_parts/gong_skin_front.iff	92
object/tangible/loot/collectible/collectible_parts/gong_skin_back.iff	93
object/tangible/loot/collectible/collectible_parts/light_table_adhesive.iff	94
object/tangible/loot/collectible/collectible_parts/light_table_glasstop_01.iff	95
object/tangible/loot/collectible/collectible_parts/light_table_glasstop_02.iff	96
object/tangible/loot/collectible/collectible_parts/sculpture_adhesive.iff	97
object/tangible/loot/collectible/collectible_parts/sculpture_goldinlay_01.iff	98
object/tangible/loot/collectible/collectible_parts/sculpture_goldinlay_02.iff	99
