speakSkillModName	comprehendSkillModName	stringId	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z	audible
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b[1]
language_basic_speak	language_basic_comprehend	basic																											
language_rodian_speak	language_rodian_comprehend	rodese	ee	yu	k	ud	oo	l	do	tt	ts	m	kee	tu	ta	te	ai	to	ti	z	zz	re	ut	at	et	mu	nu	fe	
language_trandoshan_speak	language_trandoshan_comprehend	dosh	sa	sk	sst	slk	seh	so	se	si	sk	ssm	tst	tsk	sss	oss	y	ess	kk	klk	t	z	zz	iss	ss	lss	ss	izz	
language_moncalamari_speak	language_moncalamari_comprehend	moncalamarian	aa	uu	su	oh	eu	ll	u	hr	ee	ay	so	ir	om	on	ou	po	uq	ur	es	e	ul	al	aw	eh	ay	a	
language_wookiee_speak	language_wookiee_comprehend	shyriiwook	ra	r	oa	wa	wo	ww	rr	ac	ca	sh	or	an	cc	ww	oo	a	o	r	c	s	ha	h	o	a	r	uf	
language_bothan_speak	language_bothan_comprehend	bothese	ey	lb	cey	do	ee	fey	eg	mo	o	m	y	lo	me	yn	a	sep	q	ed	et	or	sk	vi	wo	sh	yy	ne	
language_twilek_speak	language_twilek_comprehend	ryl	fa	fe	feh	fah	oi	ff	f	hd	i	nk	kn	lk	lm	le	la	mk	no	sk	ks	y	yy	ry	l	yr	ll	y	
language_zabrak_speak	language_zabrak_comprehend	zabrak	a	v	s	do	e	ef	gu	hu	i	je	ki	le	m	n	oo	p	qu	rr	si	t	u	v	w	ek	y	ez	
language_lekku_speak	language_lekku_comprehend	lekku																											0
language_ithorian_speak	language_ithorian_comprehend	ithorian	sa	sk	sst	iss	seh	so	tsk	si	sk	ssm	tst	ess	sss	oss	y	zz	kk	izz	t	z	klk	se	ss	slk	ss	lss	
language_sullustan_speak	language_sullustan_comprehend	sullustan	ey	eg	cey	do	y	fey	me	mo	o	m	ee	lo	lb	yn	a	ne	vi	ed	et	yy	or	q	wo	sh	sk	sep	
language_hutt_speak	language_hutt_comprehend	huttese	a	ba	cho	du	e	fa	ga	ho	i	jo	ko	lu	ma	na	o	pe	q	ru	sa	t	u	va	w	x	i	za	
