small	medium	large
s	s	s
fbase_rebel_elite_commando	formation:rebel:tier3_small_patrol_a	formation:rebel:tier3_large_patrol_a
fbase_rebel_cadet	formation:rebel:tier3_small_patrol_b	formation:rebel:tier3_large_patrol_b
fbase_rebel_sergeant_hard		
fbase_rebel_recruit_hard		
fbase_rebel_warrant_officer_ii_hard		
fbase_rebel_medic_hard		
fbase_rebel_master_sergeant_hard		
fbase_rebel_first_lieutenant_hard		
fbase_rebel_sharpshooter_hard		
fbase_rebel_heavy_trooper		
fbase_rebel_comm_operator_hard		
fbase_rebel_corporal_hard		
fbase_rebel_elite_sand_rat		
		
