small	medium	large
s	s	s
fbase_specialist_noncom	formation:imperial:tier1_small_patrol_b	formation:imperial:tier1_large_patrol_a
fbase_imperial_noncom	formation:imperial:tier1_small_patrol_a	formation:imperial:tier1_large_patrol_b
fbase_comm_operator		
fbase_command_security_guard		
fbase_imperial_sergeant		
fbase_imperial_medic		
fbase_imperial_corporal		
fbase_imperial_sharpshooter		
fbase_imperial_warrant_officer_ii		
fbase_imperial_master_sergeant		
fbase_imperial_first_lieutenant		
fbase_imperial_army_captain		
fbase_scout_trooper		
