small	medium	large
s	s	s
fbase_rebel_liberator_hard	formation:rebel:tier4_small_patrol_a	formation:rebel:tier4_large_patrol_a
fbase_rebel_army_captain_hard	formation:rebel:tier4_small_patrol_b	formation:rebel:tier4_large_patrol_b
fbase_rebel_colonel_hard		
fbase_rebel_soldier_hard		
fbase_rebel_rifleman_hard		
fbase_rebel_guardsman_hard		
fbase_rebel_guard_captain_hard		
fbase_rebel_grenadier_hard		
fbase_rebel_heavy_trooper_hard		
fbase_rebel_squad_leader_hard		
fbase_rebel_cadet_hard		
fbase_rebel_elite_heavy_trooper		
fbase_rebel_commando_hard		
fbase_rebel_elite_sand_rat_hard		
fbase_rebel_elite_heavy_trooper_hard
