small	medium	large
s	s	s
fbase_stormtrooper_captain	formation:imperial:tier3_small_patrol_a	formation:imperial:tier3_large_patrol_a
fbase_storm_commando	formation:imperial:tier3_small_patrol_b	formation:imperial:tier3_large_patrol_b
fbase_imperial_sergeant_hard		
fbase_imperial_noncom_hard		
fbase_imperial_warrant_officer_ii_hard		
fbase_imperial_medic_hard		
fbase_imperial_master_sergeant_hard		
fbase_imperial_first_lieutenant_hard		
fbase_imperial_sharpshooter_hard		
fbase_dark_trooper		
fbase_comm_operator_hard		
fbase_imperial_corporal_hard		
fbase_elite_sand_trooper		
