small	medium	large
s	s	s
fbase_scout_trooper_hard	formation:imperial:tier4_small_patrol_a	formation:imperial:tier4_large_patrol_a
fbase_imperial_exterminator_hard	formation:imperial:tier4_small_patrol_b	formation:imperial:tier4_large_patrol_b
fbase_imperial_army_captain_hard		
fbase_sand_trooper_hard		
fbase_imperial_colonel_hard		
fbase_stormtrooper_sniper_hard		
fbase_stormtrooper_rifleman_hard		
fbase_stormtrooper_medic_hard		
fbase_stormtrooper_hard		
fbase_stormtrooper_bombardier_hard		
fbase_dark_trooper_hard		
fbase_stormtrooper_squad_leader_hard		
fbase_stormtrooper_captain_hard		
fbase_elite_dark_trooper		
fbase_storm_commando_hard
fbase_elite_sand_trooper_hard
fbase_elite_dark_trooper_hard
