small	medium	large
s	s	s
fbase_imperial_colonel	formation:imperial:tier2_small_patrol_a	formation:imperial:tier2_large_patrol_a
fbase_swamp_trooper	formation:imperial:tier2_small_patrol_b	formation:imperial:tier2_large_patrol_b
fbase_stormtrooper_sniper		
fbase_stormtrooper_rifleman		
fbase_stormtrooper_medic		
fbase_stormtrooper_bombardier		
fbase_stormtrooper		
fbase_specialist_noncom_hard		
fbase_sand_trooper		
fbase_command_security_guard_hard		
fbase_swamp_trooper_hard		
fbase_stormtrooper_squad_leader		
fbase_imperial_exterminator		
