intIndex	strName
i	s
12	exp_tat_bens_hut
13	exp_tat_tusken_pool
14	exp_tat_krayt_skeleton
15	exp_tat_escape_pod
16	exp_tat_sarlacc_pit
17	exp_tat_lars_homestead
18	exp_tat_krayt_graveyard
19	exp_nab_gungan_sacred_place
20	exp_cor_agrilat_swamp
21	exp_yav_temple_woolamander
22	exp_yav_temple_blueleaf
23	exp_yav_temple_exar_kun
24	exp_lok_volcano
25	exp_dat_tarpit
26	exp_dat_sarlacc
27	exp_dat_escape_pod
28	exp_dat_misty_falls_1
29	exp_dat_misty_falls_2
30	exp_dan_jedi_temple
31	exp_dan_rebel_base
75	bdg_exp_nab_theed_falls_bottom
76	bdg_exp_nab_deeja_falls_top
77	bdg_exp_nab_amidalas_sandy_beach
78	bdg_exp_cor_rebel_hideout
79	bdg_exp_cor_rogue_corsec_base
80	bdg_exp_cor_tyrena_theater
81	bdg_exp_cor_bela_vistal_fountain
82	bdg_exp_dat_crashed_ship
83	bdg_exp_dat_imp_prison
84	bdg_exp_dan_dantari_village1
85	bdg_exp_dan_dantari_village2
86	bdg_exp_end_ewok_tree_village
87	bdg_exp_end_ewok_lake_village
88	bdg_exp_end_dulok_village
89	bdg_exp_end_imp_outpost
90	bdg_exp_tal_creature_village
91	bdg_exp_tal_imp_base
92	bdg_exp_tal_imp_vs_reb_battle
93	bdg_exp_tal_aqualish_cave
94	bdg_exp_ror_kobala_spice_mine
95	bdg_exp_ror_rebel_outpost
96	bdg_exp_ror_imp_camp
97	bdg_exp_ror_imp_hyperdrive_fac
98	bdg_exp_lok_imp_outpost
99	bdg_exp_lok_kimogila_skeleton
6020	exp_icon_deathtroopers_camp_alpha
6021	exp_icon_deathtroopers_camp_beta
6022	exp_icon_deathtroopers_camp_gamma
6023	exp_icon_deathtroopers_camp_delta
6024	exp_icon_deathtroopers_camp_epsilon
6244	bdg_hoth_planet
6245	bdg_hoth_echo_base
6246	bdg_hoth_event_imperial
6247	bdg_hoth_event_rebel
