name	volume	hit_points	min_damage	max_damage	accuracy	damage_type	elemental_type	elemental_damage	attack_speed	wound_chance	special_attack_cost	min_range_distance	max_range_distance	skill_mods	objvars	proc_effect	tier_granted	target_dps	actual_dps
s[unique]	i	i	i	i	i	"e(kinetic=1,energy=2)[energy]"	"e(none=0,kinetic=1,energy=2,cold=64,heat=32,acid=128,electric=256)[none]"	i	i	i	i	i	i	s	s	s	c	c	c
weapon_pistol_02_01	1	1000	18	35	0				40	1	100	0	35	ranged_accuracy=1			testing		66
weapon_rifle_02_01	1	1000	35	70	0				80	1	100	0	55	ranged_accuracy=1		proc_fire_attack	testing		66
weapon_carbine_02_01	1	1000	26	52	0				60	1	100	0	45	ranged_accuracy=1		proc_fire_attack_1	testing		65
weapon_polearm_02_01	1	1000	43	86	0	kinetic			100	1	100	0	5	melee_accuracy=1			testing		65
weapon_sword_1h_02_01	1	1000	43	86	0	kinetic			100	1	100	0	5	melee_accuracy=1			testing		65
weapon_sword_2h_02_01	1	1000	43	86	0	kinetic			100	1	100	0	5	melee_accuracy=1			testing		65
weapon_pistol_02_02	1	1000	10	26	0				40	1	100	0	35				level 1 npe NOTE these dps are higher than average	45	45
weapon_rifle_02_02	1	1000	20	40	0				80	1	100	0	35				level 1 npe	38	38
weapon_carbine_02_02	1	1000	15	30	0				60	1	100	0	35				level 1 npe	38	38
weapon_polearm_02_02	1	1000	29	58	0	kinetic			100	1	100	0	5				level 1 npe	44	44
weapon_sword_1h_02_02	1	1000	29	58	0	kinetic			100	1	100	0	5				level 1 npe	44	44
weapon_sword_2h_02_02	1	1000	29	58	0	kinetic			100	1	100	0	5				level 1 npe	44	44
weapon_pistol_02_03	1	1000	17	28	0				40	1	100	0	35				level 4 NPE	56	56
weapon_rifle_02_03	1	1000	33	56	0				80	1	100	0	35				level 4 NPE	56	56
weapon_carbine_02_03	1	1000	25	42	0				60	1	100	0	35				level 4 NPE	56	56
weapon_polearm_02_03	1	1000	43	75	0	kinetic			100	1	100	0	5				level 3 NPE	59	59
weapon_sword_1h_02_03	1	1000	43	88	0	kinetic			100	1	100	0	5				level 4 NPE	66	66
weapon_sword_2h_02_03	1	1000	43	88	0	kinetic			100	1	100	0	5				level 4 NPE	66	66
weapon_pistol_02_04	1	1000	18	36	0				40	1	100	0	35				level 6 npe	68	68
weapon_rifle_02_04	1	1000	36	72	0				80	1	100	0	50				level 6 npe	68	68
weapon_carbine_02_04	1	1000	27	54	0				60	1	100	0	40				level 6 npe	68	68
weapon_polearm_02_04	1	1000	46	91	0	kinetic			100	1	100	0	5				level 6 npe	69	69
weapon_sword_1h_02_04	1	1000	46	91	0	kinetic			100	1	100	0	5				level 6 npe	69	69
weapon_sword_2h_02_04	1	1000	46	91	0	kinetic			100	1	100	0	5				level 6 npe	69	69
weapon_pistol_02_05	1	1000	22	44	0				40	1	100	0	35				level 9 npe	83	83
weapon_rifle_02_05	1	1000	44	88	0				80	1	100	0	50				level 9 npe	83	83
weapon_carbine_02_05	1	1000	33	66	0				60	1	100	0	40				level 9 npe	83	83
weapon_polearm_02_05	1	1000	64	128	0	kinetic			100	1	100	0	5				level 9 npe	96	96
weapon_sword_1h_02_05	1	1000	64	128	0	kinetic			100	1	100	0	5				level 9 npe	96	96
weapon_sword_2h_02_05	1	1000	64	128	0	kinetic			100	1	100	0	5				level 9 npe	96	96
weapon_pistol_04_01	1	1000	31	61	0				40	1	100	0	35				level 13 npe	115	115
weapon_rifle_04_01	1	1000	61	122	0				80	1	100	0	50				level 13 npe	115	114
weapon_carbine_04_01	1	1000	46	92	0				60	1	100	0	40				level 13 npe	115	115
weapon_polearm_04_01	1	1000	85	170	0	kinetic			100	1	100	0	5				level 13 npe	128	128
weapon_sword_1h_04_01	1	1000	85	170	0	kinetic			100	1	100	0	5				level 13 npe	128	128
