name	template_name	type	unique	required_level	required_skill	creation_objvars	charges	tier	value	scripts	version	can_reverse_engineer	string_name	string_detail	comments
s[unique]	s	"e(weapon=1,armor=2,item=3,storyteller=4,object=5)[item]"	i[0]	i	s	s	i	i	i[0]	s	i[1]	i[0]	c	c	c
weapon_pistol_02_01	object/weapon/ranged/pistol/pistol_d18.iff	weapon						2	45			1	Basic D18 Pistol	A basic pistol in dire need of cleaning.	level 5 required
weapon_rifle_02_01	object/weapon/ranged/rifle/rifle_dlt20.iff	weapon						2	45			1	Basic DLT-20 Rifle	A basic rifle in dire need of cleaning.	level 5 required
weapon_carbine_02_01	object/weapon/ranged/carbine/carbine_dh17.iff	weapon						2	45			1	Basic DH-17 Carbine	A basic carbine in dire need of cleaning.	level 5 required
weapon_polearm_02_01	object/weapon/melee/polearm/lance_staff_wood_s2.iff	weapon						2	45			1	Basic Wood Staff	A basic wood staff in dire need of cleaning.	level 5 required
weapon_sword_1h_02_01	object/weapon/melee/sword/sword_01.iff	weapon						2	45			1	Basic Sword	A basic sword in dire need of cleaning.	level 5 required
weapon_sword_2h_02_01	object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	weapon						2	45			1	Basic Battleaxe	A basic axe in dire need of cleaning.	level 6 required
armor_bone_chest_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_chest_plate.iff	armor						2	45			1	Filth Encrusted Bone Chest	"A filthy piece of bone armor. Armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory."	
armor_bone_leggings_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_leggings.iff	armor						2	45			1	Filth Encrusted Bone Leggings	"A filthy piece of bone armor. Armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory."	
armor_bone_helmet_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_helmet.iff	armor						2	45			1	Filth Encrusted Bone Helmet	"A filthy piece of bone armor. Armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory."	
armor_bone_bicep_l_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_bicep_l.iff	armor						2	45			1	Filth Encrusted Bone Left Bicep	"A filthy piece of bone armor. Armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory."	
armor_bone_bicep_r_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_bicep_r.iff	armor						2	45			1	Filth Encrusted Bone Right Bicep	"A filthy piece of bone armor. Armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory."	
armor_bone_bracer_l_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_bracer_l.iff	armor						2	45			1	Filth Encrusted Bone Left Bracer	"A filthy piece of bone armor. Armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory."	
armor_bone_bracer_r_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_bracer_r.iff	armor						2	45			1	Filth Encrusted Bone Right Bracer	"A filthy piece of bone armor. Armor can have significantly different characteristics. Be sure to examine the armor closely to determine its protection abilities. To wear this armor, double click on it from your inventory."	
armor_bone_gloves_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_gloves.iff	armor						2	45			1	Filth Encrusted Bone Gloves	"A filthy piece of bone armor. Armor can have significantly different characteristics. Gloves have no protection statistics. To wear this armor, double click on it from your inventory."	
armor_bone_boots_02_01	object/tangible/wearables/armor/bone/armor_bone_s01_boots.iff	armor						2	45			1	Filth Encrusted Bone Boots	"A filthy piece of bone armor. Armor can have significantly different characteristics. Boots have no protection statistics. To wear this armor, double click on it from your inventory."	
item_datapad_01_01	object/tangible/loot/tool/datapad_broken.iff							1	32	object.autostack		1	Datapad	A datapad.	
item_tooth_01_01	object/tangible/loot/creature_loot/generic/carnivore_tooth.iff							1	34	object.autostack		1	Decayed Tooth	A tooth rotten with decay.	
item_tooth_01_02	object/tangible/loot/creature_loot/generic/carnivore_tooth.iff							1	37	object.autostack		1	Decayed Tooth	A tooth full of decay.	
item_feather_01_01	object/tangible/loot/creature_loot/generic/generic_feather.iff							1	40	object.autostack		1	Mottled Feather	A mottled feather.	
item_holocron_06_01	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form Zero Lightsaber Combat	"Form Zero:||Originally defined by Jedi Master Yoda to describe the lightsaber technique of Felanil Baaks, Form Zero became the basis for the instruction of lightsaber combat. In its simplest form, Form Zero is the art of wielding a lightsaber which had not been ignited. While it seemed silly to many padawan learners, the underlying message could not be ignored. In order for a Jedi to protect and serve the galaxy, they must know when to ignite their lightsaber for combat, and when to leave the weapon at his side. The understanding of another being's situation was key to the knowledge of right and wrong, and any student who could understand the necessity of Form Zero and use it to mediate a solution - without resorting to violence - was truly gifted with the Force."	mustafar expansion
item_holocron_06_02	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form I Lightsaber Combat	"Form I:||Known as Shii-Cho, this was the simplest form of lightsaber combat techniques studied by the Jedi Knights of the Old Republic, and was generally considered the first form used by the original creators of lightsabers. Sometimes called the ideal form, Form I used horizontal side-swipes and parries made with the blade of the lightsaber held upright to push the point of an enemy's blade away during a side-to-side attack. If the attack is a downward slash aimed at the head, Form I simply reversed the motion, with a horizontally-held lightsaber being moved up and down to deflect a blow. All the basic ideals of attack, parry, target zones, and practice drills were created with the Form I style."	mustafar expansion
item_holocron_06_03	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form II Lightsaber Combat	"Form II:||Known as Makashi, this ancient Jedi Knight lightsaber combat technique was developed when pikes and staves were more common in the galaxy. Form II emphasized fluid motion and anticipation of a weapon being swung at its target, allowing the Jedi to attack and defend with minimal effort. Although many Jedi historians considered Form II to be the ultimate refinement in lightsaber-to-lightsaber combat, it was dropped in favor of Form III combat when blaster weapons became prevalent in the galaxy."	mustafar expansion
item_holocron_06_04	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form III Lightsaber Combat	"Form III:||Known as Soresu, this was a lightsaber dueling technique developed by the Jedi Knights, after blaster weapons became the normal weapon of choice among criminals and underworld beings. Unlike Form II combat, which was developed to work against another lightsaber, Form III was most effective in anticipating and deflecting blaster fire. It stressed quick reflexes and fast positional transition, in order to overcome the rapidity with which a blaster could be fired. It was essentially a defensive technique, emphasizing the non-aggressive Jedi philosophy while reducing the exposed areas of their bodies. In the wake of the death of Qui-Gon Jinn at the hands of Darth Maul, many Jedi turned away from the Form IV style of open, acrobatic fighting and took up Form III in order to minimize the risk of injury or death at the hands of an opportunistic opponent."	mustafar expansion
item_holocron_06_05	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form IV Lightsaber Combat	"Form IV:||Known as Ataru, this was one of the more recent lightsaber combat techniques, developed by the Jedi Knights during the last decades of the Old Republic. It emphasized acrobatic strength and power in wielding the blade, attributes which were frowned upon by many traditional Jedi Knights and Masters. It found a niche among the eager padawan learners of the time, who believed that the Jedi needed to become more involved in rooting out crime and evil and eradicating it. This Form was practiced by Qui-Gon Jinn, although his death at the hands of Darth Maul exposed the weakness of Form IV in defending a Jedi's body. Yoda, however, practiced Form IV with such speed that, when coupled with his small size, left an enemy with no undefended parts of his body."	mustafar expansion
item_holocron_06_06	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form V Lightsaber Combat	"Form V:||Known as Shien, this was one of the seven primary forms of lightsaber combat developed by the Jedi Knights of the Old Republic. Form V was developed by a group of Jedi Masters who felt that Form III was too passive, while Form IV was not powerful enough. It addressed the shortcomings of both forms, in which a Jedi Master may have proved to be undefeatable but could not overcome the enemy. Among the many unique aspects of Form V was the development of techniques in which the lightsaber was used to deflect a blaster bolt directly back at the firer, deliberately to cause harm to the opponent. Many Jedi Masters debated the philosophy of Form V, claiming that it directed inappropriate focus on hurting another being. Others claimed that Form V was simply a way to ""achieve peace through superior firepower."""	mustafar expansion
