strGroundQuests	strSpaceType	strSpaceName
s	s	s
npe_smuggler_try	patrol	npe_training_1
npe_officer_try	patrol	npe_training_1b
npe_spy_try_2	patrol	npe_training_2
npe_boba	destroy	npe_training_2a
npe_commando	patrol	npe_training_2b
npe_frelka_transition	escort	npe_training_3
npe_frelka_transition_2	patrol	npe_training_3a
npe_frelka_quest	patrol	npe_easy_main_1
npe_side_dungeon_dna	inspect	npe_easy_main_1a
npe_side_dungeon_soldier	destroy_surpriseattack	npe_easy_main_1b
npe_rebel_2	delivery_no_pickup	npe_easy_main_1c
npe_imperial_1	patrol	npe_easy_main_1d
npe_pilot_first_mission_no_ground	escort	npe_easy_main_2
npe_scout_1	patrol	npe_easy_main_2b
npe_scout_1a	delivery_no_pickup	npe_easy_main_3
npe_brawler_2	delivery_no_pickup	npe_easy_main_3a
npe_brawler_2a	patrol	npe_easy_main_3b
npe_side_smuggle	patrol	npe_easy_main_4
npe_runequest	destroy_surpriseattack	npe_easy_main_4a
	destroy_surpriseattack	npe_easy_main_4b
	patrol	npe_easy_main_4c
	patrol	npe_med_main_1
	destroy	npe_med_main_1a
	patrol	npe_med_main_1b
	recovery	npe_med_main_2
	rescue	npe_med_main_2a
	patrol	npe_med_main_2b
	destroy_surpriseattack	npe_med_main_2c
	patrol	npe_med_main_2d
	destroy	npe_med_main_3
	rescue	npe_med_main_3a
	escort	npe_med_main_3b
	patrol	npe_med_main_3c
	destroy	npe_med_main_4
	destroy_surpriseattack	npe_med_main_4a
	destroy_surpriseattack	npe_med_main_4b
	patrol	npe_med_main_4c
	destroy	npe_hard_main_1
	destroy	npe_hard_main_1a
	patrol	npe_hard_main_1b
	destroy	npe_hard_main_2
	assassinate	npe_hard_main_2a
	destroy	npe_hard_main_2b
	assassinate	npe_hard_main_2c
	patrol	npe_hard_main_2d
	destroy	npe_hard_main_3
	assassinate	npe_hard_main_3a
	destroy_surpriseattack	npe_hard_main_3b
	space_battle	npe_hard_main_3c
	patrol	npe_hard_main_3d
