general	armor_schematic
s	s
object/tangible/painting/painting_valley_view.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_chest_plate_schematic.iff
object/tangible/painting/painting_dance_party.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_leggings_schematic.iff
object/tangible/painting/painting_armor_blueprint.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_bicep_l_schematic.iff
object/tangible/painting/painting_bioengineer_orange.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_helmet_schematic.iff
object/tangible/loot/misc/slave_collar.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_bicep_r_schematic.iff
object/tangible/component/clothing/clasp_heavy_duty.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_bracer_r_schematic.iff
object/tangible/component/clothing/clothing_treatment_crystalline.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_bracer_l_schematic.iff
object/tangible/component/clothing/leather_heavy_duty.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_belt_schematic.iff
object/tangible/container/general/cargo_pocket.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_boots_schematic.iff
object/tangible/container/general/satchel.iff	object/tangible/loot/loot_schematic/death_watch_bounty_hunter_gloves_schematic.iff
object/tangible/container/loot/player_loot_crate.iff	
object/tangible/wearables/hat/hat_s02.iff	
object/tangible/wearables/ring/aakuan_ring.iff	
object/tangible/food/foraged/foraged_fruit_s1.iff	
