area	x1	z1	x2	z2	useClipRect	clipRectX1	clipRectZ1	clipRectX2	clipRectZ2	envFlags	envFlagsExclude	useOrigin	originX	originZ	compositeX1	compositeZ1	compositeX2	compositeZ2	compositeName	isolated	allowMap	internal	allowRadarTerrain	eventRequired
s	f	f	f	f	b[0]	f[0]	f[0]	f[0]	f[0]	i[0xff]	i[0x00]	b[0]	f[0]	f[0]	f[0]	f[0]	f[0]	f[0]	s	b[0]	b[1]	b[1]	b[1]	s
rori_1_1	-8192	-8192	-6144	-6144																				
empireday_imp_crashsite_03	-8192	-8192	-6144	-6144																				empireday_ceremony
rori_1_2	-8192	-6144	-6144	-4096																				
rori_1_3	-8192	-4096	-6144	-2048																				
rori_1_4	-8192	-2048	-6144	0																				
rori_1_5	-8192	0	-6144	2048																				
rori_1_6	-8192	2048	-6144	4096																				
rori_1_7	-8192	4096	-6144	6144																				
rori_1_8	-8192	6144	-6144	8192																				
rori_2_1	-6144	-8192	-4096	-6144																				
rori_2_2	-6144	-6144	-4096	-4096																				
rori_2_3	-6144	-4096	-4096	-2048																				
rori_2_4	-6144	-2048	-4096	0																				
rori_2_5	-6144	0	-4096	2048																				
rori_2_6	-6144	2048	-4096	4096
rori_2_7	-6144	4096	-4096	6144
rori_2_8	-6144	6144	-4096	8192
rori_3_1	-4096	-8192	-2048	-6144
rori_3_2	-4096	-6144	-2048	-4096
rori_3_3	-4096	-4096	-2048	-2048
rori_3_4	-4096	-2048	-2048	0
rori_3_5	-4096	0	-2048	2048
rori_3_6	-4096	2048	-2048	4096
rori_3_7	-4096	4096	-2048	6144
rori_3_8	-4096	6144	-2048	8192
rori_4_1	-2048	-8192	0	-6144
rori_4_2	-2048	-6144	0	-4096
rori_4_3	-2048	-4096	0	-2048
rori_4_4	-2048	-2048	0	0
rori_4_5	-2048	0	0	2048
rori_4_6	-2048	2048	0	4096																				
rori_4_7	-2048	4096	0	6144																				
rori_4_8	-2048	6144	0	8192																				
rori_5_1	0	-8192	2048	-6144																				
rori_5_2	0	-6144	2048	-4096																				
rori_5_3	0	-4096	2048	-2048																				
rori_5_4	0	-2048	2048	0																				
rori_5_5	0	0	2048	2048																				
rori_5_6	0	2048	2048	4096																				
rori_5_7	0	4096	2048	6144																				
rori_5_8	0	6144	2048	8192																				
empireday_imp_crashsite_01	0	6144	2048	8192																				empireday_ceremony
rori_6_1	2048	-8192	4096	-6144																				
rori_6_2	2048	-6144	4096	-4096																				
rori_6_3	2048	-4096	4096	-2048																				
rori_6_4	2048	-2048	4096	0																				
rori_6_5	2048	0	4096	2048
rori_6_6	2048	2048	4096	4096
rori_6_7	2048	4096	4096	6144
rori_6_8	2048	6144	4096	8192
rori_7_1	4096	-8192	6144	-6144
rori_7_2	4096	-6144	6144	-4096
rori_7_3	4096	-4096	6144	-2048
rori_7_4	4096	-2048	6144	0
rori_7_5	4096	0	6144	2048
rori_7_6	4096	2048	6144	4096
rori_7_7	4096	4096	6144	6144
rori_7_8	4096	6144	6144	8192
rori_8_1	6144	-8192	8192	-6144
rori_8_2	6144	-6144	8192	-4096
rori_8_3	6144	-4096	8192	-2048
rori_8_4	6144	-2048	8192	0
empireday_imp_crashsite_02	6144	-2048	8192	0																				empireday_ceremony
rori_8_5	6144	0	8192	2048																				
rori_8_6	6144	2048	8192	4096																				
rori_8_7	6144	4096	8192	6144																				
rori_8_8	6144	6144	8192	8192																				
