ATTACK_HASH	ATTACK_STRING
h	s
stunAttack	stunattack
knockdownAttack	knockdownattack
creatureAreaKnockdown	creatureareaknockdown
intimidationAttack	intimidationattack
blindAttack	blindattack
dizzyAttack	dizzyattack
creatureAreaCombo	creatureareacombo
creatureAreaBleeding	creatureareableeding
mildPoison	mildpoison
mediumPoison	mediumpoison
strongPoison	strongpoison
creatureAreaPoison	creatureareapoison
postureDownAttack	posturedownattack
mildDisease	milddisease
mediumDisease	mediumdisease
strongDisease	strongdisease
creatureAreaDisease	creatureareadisease
