weapon1	weapon2	weapon3	weapon4
s	s	s	s
ranged/carbine/carbine_dh17.iff			
ranged/carbine/carbine_dh17_black.iff			
ranged/carbine/carbine_dh17_snubnose.iff			
ranged/pistol/pistol_dh17.iff			
ranged/pistol/pistol_dl44.iff			
ranged/pistol/pistol_dl44_metal.iff			
ranged/rifle/rifle_dlt20a.iff			
ranged/rifle/rifle_laser.iff			
melee/polearm/lance_staff_metal.iff			
melee/polearm/lance_staff_wood_s1.iff			
melee/polearm/lance_staff_wood_s2.iff			
melee/knife/knife_survival.iff			
melee/knife/knife_vibroblade.iff			
melee/sword/sword_01.iff			
melee/sword/sword_02.iff
melee/sword/sword_blade_ryyk.iff
melee/sword/sword_rantok.iff
