weapon1	weapon2	weapon3	weapon4
s	s	s	s
melee/sword/sword_01_force.iff			
melee/sword/sword_02_force.iff			
melee/sword/sword_blade_ryyk_force.iff			
melee/sword/sword_rantok_force.iff			
melee/sword/sword_nyax_force.iff			
melee/sword/sword_curved_nyax_force.iff			
melee/baton/baton_stun_force.iff			
melee/2h_sword/2h_sword_battleaxe_force.iff			
melee/2h_sword/2h_sword_cleaver_force.iff			
melee/2h_sword/2h_sword_katana_force.iff			
melee/2h_sword/2h_sword_maul_force.iff			
melee/2h_sword/2h_sword_scythe_force.iff			
melee/polearm/lance_controllerfp_force.iff			
melee/polearm/lance_staff_janta_force.iff			
melee/polearm/lance_staff_metal_force.iff
melee/polearm/lance_vibrolance_force.iff
melee/polearm/polearm_vibro_axe_force.iff
