weapon1	weapon2	weapon3	weapon4
s	s	s	s
ranged/carbine/carbine_dxr6.iff			
ranged/carbine/carbine_e11.iff			
ranged/carbine/carbine_ee3.iff			
ranged/carbine/carbine_elite.iff			
ranged/carbine/carbine_laser.iff			
ranged/pistol/pistol_cdef.iff			
ranged/pistol/pistol_d18.iff			
ranged/pistol/pistol_dh17.iff			
ranged/pistol/pistol_dl44.iff			
ranged/pistol/pistol_dl44_metal.iff			
ranged/pistol/pistol_dx2.iff			
ranged/pistol/pistol_fwg5.iff			
ranged/pistol/pistol_power5.iff			
ranged/pistol/pistol_scout_blaster.iff			
ranged/pistol/pistol_srcombat.iff
ranged/pistol/pistol_striker.iff
ranged/rifle/rifle_dlt20a.iff
ranged/rifle/rifle_dlt20a.iff
ranged/rifle/rifle_e11.iff
ranged/rifle/rifle_laser.iff
ranged/rifle/rifle_sg82.iff
ranged/rifle/rifle_t21.iff
