weapon1	weapon2	weapon3	weapon4
s	s	s	s
ranged/carbine/carbine_dh17.iff	melee/axe/axe_heavy_duty.iff		
ranged/carbine/carbine_dh17_black.iff	melee/axe/axe_vibroaxe.iff		
ranged/carbine/carbine_dh17_snubnose.iff	melee/baton/baton_stun.iff		
ranged/pistol/pistol_dh17.iff	melee/knife/knife_survival.iff		
ranged/pistol/pistol_dl44.iff	melee/knife/knife_vibroblade.iff		
ranged/pistol/pistol_dl44_metal.iff	melee/polearm/lance_staff_wood_s1.iff		
ranged/pistol/pistol_srcombat.iff	melee/polearm/lance_staff_wood_s2.iff		
ranged/pistol/pistol_striker.iff	melee/polearm/lance_vibrolance.iff		
ranged/rifle/rifle_dlt20a.iff	melee/polearm/polearm_vibro_axe.iff		
ranged/rifle/rifle_laser.iff	melee/special/vibroknuckler.iff		
ranged/rifle/rifle_sg82.iff	melee/sword/sword_01.iff		
